"Dataset","Link","RestrictedModel","FullModel","RestrictedLogLik","FullLogLik","LRT","df","boundary_dim","p_value","decision","method","Reference","ObservedLRT","BootstrapPValue","BootstrapRepsSucceeded","Decision"
"C2","identity","Poisson","ZIP--ZINB",-3526.90400078499,-2839.9729328001,1373.86213596979,NA,2,1.21859919833383e-299,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",1367.07504577476,0.01,99,"Reject"
"C2","identity","NB","ZIP--ZINB",-2939.45089749508,-2839.9729328001,198.955929389969,NA,2,1.74396400224387e-44,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",192.168839199173,0.01,99,"Reject"
"C2","identity","ZIP","ZIP--ZINB",-2843.3676581344,-2839.9729328001,6.78945066860979,NA,1,0.00458490607012463,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",0.0023604735852131,0.97,99,"Fail"
"C2","identity","ZINB","ZIP--ZINB",-2843.3664534318,-2839.9729328001,6.78704126341108,NA,1,0.00459109851688494,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",0.0006847775084679,0.7,99,"Fail"
"C2","identity","P+NB","ZIP--ZINB",-2845.60145506749,-2839.9729328001,11.2570445347737,NA,2,0.00129507757460515,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",18.7674076731973,0.01,99,"Reject"
"C2","identity","Z+P+NB","ZIP--ZINB",-2843.2300655486,-2839.9729328001,6.51426549699954,2,0,0.0384986251583107,"Reject","chi²(df=2)","chi-square",0.0023271370573638,0.56,99,"Fail"
"C2","log","Poisson","ZIP--ZINB",-3528.69655280584,-2838.55665879726,1380.27978801715,NA,2,4.92315850318758e-301,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",1380.27900741577,0.01,99,"Reject"
"C2","log","NB","ZIP--ZINB",-2940.52337781387,-2838.55665879726,203.933438033214,NA,2,1.44594086401814e-45,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",203.93265743165,0.01,99,"Reject"
"C2","log","ZIP","ZIP--ZINB",-2843.69110535797,-2838.55665879726,10.2688931214097,NA,1,0.000676459732714878,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",10.2681125245272,0.14,99,"Fail"
"C2","log","ZINB","ZIP--ZINB",-2843.69059314791,-2838.55665879726,10.2678687012831,NA,1,0.000676835446049502,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",10.2662937518107,0.1,99,"Fail"
"C2","log","P+NB","ZIP--ZINB",-2842.91320656298,-2838.55665879726,8.71309553142601,NA,2,0.00478530590902857,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",15.3257556824256,0.03,99,"Reject"
"C2","log","Z+P+NB","ZIP--ZINB",-2839.72258710877,-2838.55665879726,2.33185662300548,2,0,0.311633234997525,"Fail","chi²(df=2)","chi-square",2.33104439979252,0.31,99,"Fail"
"C3","identity","Poisson","ZIP--ZINB",-3466.63587339231,-3078.37657487872,776.518597027184,NA,2,6.35657327373489e-170,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",776.518597024318,0.01,99,"Reject"
"C3","identity","NB","ZIP--ZINB",-3152.42960646265,-3078.37657487872,148.106063167875,NA,2,1.95116509426873e-33,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",148.106063165327,0.01,99,"Reject"
"C3","identity","ZIP","ZIP--ZINB",-3081.20936779308,-3078.37657487872,5.66558582873768,NA,1,0.00865046890539747,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",5.6655858267095,0.35,99,"Fail"
"C3","identity","ZINB","ZIP--ZINB",-3080.68033498586,-3078.37657487872,4.6075202142847,NA,1,0.0159160163586454,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",4.60752021147528,0.51,99,"Fail"
"C3","identity","P+NB","ZIP--ZINB",-3079.95580588789,-3078.37657487872,3.15846201835848,NA,2,0.0893005446270642,"Fail","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",3.1584620162912,0.33,99,"Fail"
"C3","identity","Z+P+NB","ZIP--ZINB",-3079.3201117552,-3078.37657487872,1.88707375297781,2,0,0.389248673352284,"Fail","chi²(df=2)","chi-square",1.88707375024933,0.33,99,"Fail"
"C3","log","Poisson","ZIP--ZINB",-3468.14824621591,-3077.06389074138,782.168710949056,NA,2,3.7690474456806e-171,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",781.890276248203,0.01,99,"Reject"
"C3","log","NB","ZIP--ZINB",-3153.54224211053,-3077.06389074138,152.956702738289,NA,2,1.72266372361717e-34,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",152.678268037506,0.01,99,"Reject"
"C3","log","ZIP","ZIP--ZINB",-3081.33161957785,-3077.06389074138,8.53545767292962,NA,1,0.00174146869768575,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",8.2570229720186,0.26,99,"Fail"
"C3","log","ZINB","ZIP--ZINB",-3080.93862098234,-3077.06389074138,7.74946048190213,NA,1,0.00268642949651712,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",7.47102578096656,0.26,99,"Fail"
"C3","log","P+NB","ZIP--ZINB",-3077.9517735036,-3077.06389074138,1.77576552442588,NA,2,0.194216610679819,"Fail","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",1.49733082514376,0.81,99,"Fail"
"C3","log","Z+P+NB","ZIP--ZINB",-3077.30588727273,-3077.06389074138,0.483993062696754,2,0,0.785058900642936,"Fail","chi²(df=2)","chi-square",0.516086283252662,0.83,99,"Fail"
"H2AX1H60","identity","Poisson","ZIP--ZINB",-1590.3284183338,-1151.54056288051,877.575710906571,NA,2,7.2037147695041e-192,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",877.575586435749,0.01,99,"Reject"
"H2AX1H60","identity","NB","ZIP--ZINB",-1267.45617205644,-1151.54056288051,231.831218351843,NA,2,1.25759532293564e-51,"Reject","chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]","chi-bar",231.83109388102,0.01,99,"Reject"
"H2AX1H60","identity","ZIP","ZIP--ZINB",-1188.31671161884,-1151.54056288051,73.55229747665,NA,1,4.90023956660528e-18,"Reject","chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]","chi-bar",73.5521730059731,0.01,99,"Reject"
