"Scenario","Dataset","Parameter","Scale","coverage_rate","mean_se","n_intervals","Block","ParameterLatex"
"D1","Dataset 1","rho","natural_delta",0.97,0.0129654646130647,100,"Scalar","$\rho$"
"D1","Dataset 1","alpha","natural_delta",0.94,0.102816543633526,100,"Scalar","$\alpha$"
"D1","Dataset 1","logit_rho","optimizer",0.97,0.0618325873988359,100,"Scalar","$\operatorname{logit}(\rho)$"
"D1","Dataset 1","log_alpha","optimizer",0.94,0.0686955723133301,100,"Scalar","$\log(\alpha)$"
"D1","Dataset 1","beta_z[0]","optimizer",0.94,0.043377895982832,100,"$\beta$","$\beta_{10}$"
"D1","Dataset 1","beta_z[1]","optimizer",0.93,0.0369159999672784,100,"$\beta$","$\beta_{11}$"
"D1","Dataset 1","gamma_z[0]","optimizer",0.96,0.123537128009738,100,"$\gamma$","$\gamma_{10}$"
"D1","Dataset 1","gamma_z[1]","optimizer",0.95,0.0578302914170055,100,"$\gamma$","$\gamma_{11}$"
"D1","Dataset 1","beta_nb[0]","optimizer",0.96,0.460893524661105,100,"$\beta$","$\beta_{20}$"
"D1","Dataset 1","beta_nb[1]","optimizer",0.97,0.262382207251342,100,"$\beta$","$\beta_{21}$"
"D1","Dataset 1","gamma_nb[0]","optimizer",0.94,0.225441420529285,100,"$\gamma$","$\gamma_{20}$"
"D1","Dataset 1","gamma_nb[1]","optimizer",0.95,0.454152721787994,100,"$\gamma$","$\gamma_{21}$"
"D2","Dataset 2","rho","natural_delta",0.94,0.0485603639361813,100,"Scalar","$\rho$"
"D2","Dataset 2","alpha","natural_delta",1,0.054031851413237,100,"Scalar","$\alpha$"
"D2","Dataset 2","logit_rho","optimizer",0.94,0.197550178104795,100,"Scalar","$\operatorname{logit}(\rho)$"
"D2","Dataset 2","log_alpha","optimizer",1,0.0545695335112727,100,"Scalar","$\log(\alpha)$"
"D2","Dataset 2","beta_z[0]","optimizer",0.98,0.251166672326143,100,"$\beta$","$\beta_{10}$"
"D2","Dataset 2","beta_z[1]","optimizer",0.95,0.675734760032086,100,"$\beta$","$\beta_{11}$"
"D2","Dataset 2","gamma_z[0]","optimizer",0.94,0.137342601858343,100,"$\gamma$","$\gamma_{10}$"
"D2","Dataset 2","gamma_z[1]","optimizer",0.89,0.331615512844334,100,"$\gamma$","$\gamma_{11}$"
"D2","Dataset 2","beta_nb[0]","optimizer",0.92,0.476202233036559,100,"$\beta$","$\beta_{20}$"
"D2","Dataset 2","beta_nb[1]","optimizer",0.91,0.484898211629423,100,"$\beta$","$\beta_{21}$"
"D2","Dataset 2","gamma_nb[0]","optimizer",0.93,0.289088826349223,100,"$\gamma$","$\gamma_{20}$"
"D2","Dataset 2","gamma_nb[1]","optimizer",0.94,0.106909995144307,100,"$\gamma$","$\gamma_{21}$"
"D3","Dataset 3","rho","natural_delta",0.94,0.0293739369280341,100,"Scalar","$\rho$"
"D3","Dataset 3","alpha","natural_delta",0.9,0.0507387199999189,100,"Scalar","$\alpha$"
"D3","Dataset 3","logit_rho","optimizer",0.94,0.122305974545266,100,"Scalar","$\operatorname{logit}(\rho)$"
"D3","Dataset 3","log_alpha","optimizer",0.9,0.0511850705776616,100,"Scalar","$\log(\alpha)$"
"D3","Dataset 3","beta_z[0]","optimizer",0.91,0.112256962764097,100,"$\beta$","$\beta_{10}$"
"D3","Dataset 3","beta_z[1]","optimizer",0.96,0.0717388727904843,100,"$\beta$","$\beta_{11}$"
"D3","Dataset 3","gamma_z[0]","optimizer",0.92,0.354016071255607,100,"$\gamma$","$\gamma_{10}$"
"D3","Dataset 3","gamma_z[1]","optimizer",0.95,0.142422831762241,100,"$\gamma$","$\gamma_{11}$"
"D3","Dataset 3","beta_nb[0]","optimizer",0.97,0.312117302826538,100,"$\beta$","$\beta_{20}$"
"D3","Dataset 3","beta_nb[1]","optimizer",0.94,0.430432508662389,100,"$\beta$","$\beta_{21}$"
"D3","Dataset 3","gamma_nb[0]","optimizer",0.91,0.219833712032532,100,"$\gamma$","$\gamma_{20}$"
"D3","Dataset 3","gamma_nb[1]","optimizer",0.99,0.0985931714974844,100,"$\gamma$","$\gamma_{21}$"
"D4","Dataset 4","rho","natural_delta",0.85,0.0224298650184611,100,"Scalar","$\rho$"
"D4","Dataset 4","alpha","natural_delta",0.95,0.0544075908732455,100,"Scalar","$\alpha$"
"D4","Dataset 4","logit_rho","optimizer",0.86,0.109804288646591,100,"Scalar","$\operatorname{logit}(\rho)$"
"D4","Dataset 4","log_alpha","optimizer",0.96,0.0549734327674869,100,"Scalar","$\log(\alpha)$"
"D4","Dataset 4","beta_z[0]","optimizer",0.96,0.157510959313489,100,"$\beta$","$\beta_{10}$"
"D4","Dataset 4","beta_z[1]","optimizer",0.96,0.098417916390176,100,"$\beta$","$\beta_{11}$"
"D4","Dataset 4","gamma_z[0]","optimizer",0.93,0.454928570673464,100,"$\gamma$","$\gamma_{10}$"
"D4","Dataset 4","gamma_z[1]","optimizer",0.93,0.151497048549181,100,"$\gamma$","$\gamma_{11}$"
"D4","Dataset 4","beta_nb[0]","optimizer",0.93,0.158354189723218,100,"$\beta$","$\beta_{20}$"
"D4","Dataset 4","beta_nb[1]","optimizer",0.96,0.110687874578331,100,"$\beta$","$\beta_{21}$"
"D4","Dataset 4","gamma_nb[0]","optimizer",0.91,0.257948020926522,100,"$\gamma$","$\gamma_{20}$"
"D4","Dataset 4","gamma_nb[1]","optimizer",0.89,0.103568805599732,100,"$\gamma$","$\gamma_{21}$"
