"Scenario","Dataset","Rep","TotalFitSeconds"
"D1","Dataset 1",0,108.093622922897
"D2","Dataset 2",0,80.987945318222
"D3","Dataset 3",0,99.3145062923431
"D4","Dataset 4",0,73.7979617118835
"D1","Dataset 1",1,111.676474571228
"D2","Dataset 2",1,86.403516292572
"D3","Dataset 3",1,90.6539881229401
"D4","Dataset 4",1,81.4162731170654
"D1","Dataset 1",2,108.561129570007
"D2","Dataset 2",2,99.2658305168152
"D3","Dataset 3",2,96.7088360786438
"D4","Dataset 4",2,83.4866015911102
"D1","Dataset 1",3,102.723370075226
"D2","Dataset 2",3,85.1904020309448
"D3","Dataset 3",3,97.712308883667
"D4","Dataset 4",3,84.7328221797943
"D1","Dataset 1",4,101.20930981636
"D2","Dataset 2",4,121.018663644791
"D3","Dataset 3",4,104.157871007919
"D4","Dataset 4",4,75.4169518947601
"D1","Dataset 1",5,114.677694797516
"D2","Dataset 2",5,77.548326253891
"D3","Dataset 3",5,95.3436329364777
"D4","Dataset 4",5,86.6978423595428
"D1","Dataset 1",6,106.957476615906
"D2","Dataset 2",6,83.8639297485352
"D3","Dataset 3",6,89.0227806568146
"D4","Dataset 4",6,72.4187042713165
"D1","Dataset 1",7,106.62581372261
"D2","Dataset 2",7,119.332943916321
"D3","Dataset 3",7,99.4204943180084
"D4","Dataset 4",7,90.1148269176483
"D1","Dataset 1",8,106.722344875336
"D2","Dataset 2",8,86.996675491333
"D3","Dataset 3",8,98.77081990242
"D4","Dataset 4",8,77.0953316688538
"D1","Dataset 1",9,102.14906001091
"D2","Dataset 2",9,98.0656440258026
"D3","Dataset 3",9,104.70347237587
"D4","Dataset 4",9,90.5778226852417
"D1","Dataset 1",10,99.8582122325897
"D2","Dataset 2",10,117.242455720901
"D3","Dataset 3",10,107.830286026001
"D4","Dataset 4",10,80.9901490211487
"D1","Dataset 1",11,109.638919591904
"D2","Dataset 2",11,86.0412755012512
"D3","Dataset 3",11,99.0341942310333
"D4","Dataset 4",11,83.5285699367523
"D1","Dataset 1",12,109.941087961197
"D2","Dataset 2",12,101.530082702637
"D3","Dataset 3",12,88.2099273204803
"D4","Dataset 4",12,91.5291128158569
"D1","Dataset 1",13,112.569516181946
"D2","Dataset 2",13,95.9597096443176
"D3","Dataset 3",13,93.1275706291199
"D4","Dataset 4",13,86.4920072555542
"D1","Dataset 1",14,99.45134973526
"D2","Dataset 2",14,88.6248180866241
"D3","Dataset 3",14,100.606824874878
"D4","Dataset 4",14,89.7963509559631
"D1","Dataset 1",15,112.023557662964
"D2","Dataset 2",15,93.5995705127716
"D3","Dataset 3",15,85.5186886787415
"D4","Dataset 4",15,84.5442159175873
"D1","Dataset 1",16,102.03306722641
"D2","Dataset 2",16,75.8894627094269
"D3","Dataset 3",16,96.975207567215
"D4","Dataset 4",16,87.4468905925751
"D1","Dataset 1",17,107.759027957916
"D2","Dataset 2",17,94.262264251709
"D3","Dataset 3",17,96.8001396656036
"D4","Dataset 4",17,81.929833650589
"D1","Dataset 1",18,105.714715242386
"D2","Dataset 2",18,84.5876035690308
"D3","Dataset 3",18,95.2641885280609
"D4","Dataset 4",18,74.0156128406525
"D1","Dataset 1",19,102.685307979584
"D2","Dataset 2",19,101.486721038818
"D3","Dataset 3",19,100.522186040878
"D4","Dataset 4",19,82.6752128601074
"D1","Dataset 1",20,111.720665931702
"D2","Dataset 2",20,98.0583930015564
"D3","Dataset 3",20,95.835996389389
"D4","Dataset 4",20,88.6955151557922
"D1","Dataset 1",21,103.761859893799
"D2","Dataset 2",21,91.4324691295624
"D3","Dataset 3",21,99.4400768280029
"D4","Dataset 4",21,77.5109877586365
"D1","Dataset 1",22,123.689751625061
"D2","Dataset 2",22,90.2603788375854
"D3","Dataset 3",22,92.5296573638916
"D4","Dataset 4",22,89.7251145839691
"D1","Dataset 1",23,113.232617855072
"D2","Dataset 2",23,73.1832807064056
"D3","Dataset 3",23,107.106044530869
"D4","Dataset 4",23,69.2387433052063
"D1","Dataset 1",24,120.264286756516
"D2","Dataset 2",24,83.8023207187653
"D3","Dataset 3",24,99.4394731521606
"D4","Dataset 4",24,94.1201043128967
"D1","Dataset 1",25,109.260733604431
"D2","Dataset 2",25,83.5078520774841
"D3","Dataset 3",25,88.6685132980347
"D4","Dataset 4",25,78.2754170894623
"D1","Dataset 1",26,108.237253189087
"D2","Dataset 2",26,79.7180914878845
"D3","Dataset 3",26,101.610633134842
"D4","Dataset 4",26,82.5223741531372
"D1","Dataset 1",27,107.079944610596
"D2","Dataset 2",27,95.2069487571716
"D3","Dataset 3",27,91.0292346477509
"D4","Dataset 4",27,83.4992516040802
"D1","Dataset 1",28,106.305220127106
"D2","Dataset 2",28,112.480869531631
"D3","Dataset 3",28,104.817434310913
"D4","Dataset 4",28,86.0445313453674
"D1","Dataset 1",29,106.927056074142
"D2","Dataset 2",29,78.9255745410919
"D3","Dataset 3",29,82.3982057571411
"D4","Dataset 4",29,76.7567248344421
"D1","Dataset 1",30,111.1570084095
"D2","Dataset 2",30,81.7733500003815
"D3","Dataset 3",30,90.9716477394104
"D4","Dataset 4",30,84.7061614990234
"D1","Dataset 1",31,118.677802324295
"D2","Dataset 2",31,91.4188787937164
"D3","Dataset 3",31,100.51468372345
"D4","Dataset 4",31,89.1104924678802
"D1","Dataset 1",32,114.347150325775
"D2","Dataset 2",32,102.250127315521
"D3","Dataset 3",32,98.3064818382263
"D4","Dataset 4",32,86.2358322143555
"D1","Dataset 1",33,104.410093069077
"D2","Dataset 2",33,82.9249966144562
"D3","Dataset 3",33,90.9501688480377
"D4","Dataset 4",33,86.3703978061676
"D1","Dataset 1",34,103.93105006218
"D2","Dataset 2",34,89.0533630847931
"D3","Dataset 3",34,94.2504904270172
"D4","Dataset 4",34,79.2107965946198
"D1","Dataset 1",35,103.727562427521
"D2","Dataset 2",35,90.7088615894318
"D3","Dataset 3",35,101.795618772507
"D4","Dataset 4",35,82.6016576290131
"D1","Dataset 1",36,108.027064085007
"D2","Dataset 2",36,92.2744061946869
"D3","Dataset 3",36,93.9687705039978
"D4","Dataset 4",36,79.6770493984222
"D1","Dataset 1",37,104.406108379364
"D2","Dataset 2",37,89.5837917327881
"D3","Dataset 3",37,96.2142617702484
"D4","Dataset 4",37,82.557247877121
"D1","Dataset 1",38,110.130203962326
"D2","Dataset 2",38,81.9240772724152
"D3","Dataset 3",38,88.6787555217743
"D4","Dataset 4",38,80.025173664093
"D1","Dataset 1",39,112.844970226288
"D2","Dataset 2",39,93.2126493453979
"D3","Dataset 3",39,94.7790651321411
"D4","Dataset 4",39,89.9818012714386
"D1","Dataset 1",40,121.031886577606
"D2","Dataset 2",40,76.7364928722382
"D3","Dataset 3",40,121.130534172058
"D4","Dataset 4",40,87.5962800979614
"D1","Dataset 1",41,119.660263061523
"D2","Dataset 2",41,91.3569741249084
"D3","Dataset 3",41,96.6438806056976
"D4","Dataset 4",41,82.3605623245239
"D1","Dataset 1",42,104.996267080307
"D2","Dataset 2",42,96.7964787483215
"D3","Dataset 3",42,96.4106574058533
