"Scenario","Dataset","Model","mean_sec","median_sec","sd_sec","n_fits"
"D1","Dataset 1","Poisson",0.628008451461792,0.61233127117157,0.169482561898474,100
"D1","Dataset 1","NB",2.07418764591217,2.03707337379456,0.442172616691505,100
"D1","Dataset 1","ZIP",5.27512486219406,5.22541284561157,0.999669913710288,100
"D1","Dataset 1","ZINB",12.4998100328445,12.0673897266388,2.49186069367657,100
"D1","Dataset 1","P+NB",11.1782221603394,10.9633296728134,1.69077664940451,100
"D1","Dataset 1","Z+P+NB",28.0176901936531,27.8937997817993,2.17954637970006,100
"D1","Dataset 1","ZIP--ZINB",49.667779443264,48.9942778348923,3.89491480334841,100
"D2","Dataset 2","Poisson",0.842803266048431,0.816545963287354,0.180264769638224,100
"D2","Dataset 2","NB",3.38935999631882,3.31584453582764,0.824481094600542,100
"D2","Dataset 2","ZIP",5.42232497692108,5.24530565738678,1.09979076839278,100
"D2","Dataset 2","ZINB",6.2101327586174,6.13931083679199,1.23156536238489,100
"D2","Dataset 2","P+NB",14.9434159326553,14.1700217723846,3.69481031221768,100
"D2","Dataset 2","Z+P+NB",20.8849452447891,20.0273771286011,4.75687692242359,100
"D2","Dataset 2","ZIP--ZINB",37.7769767332077,36.2900457382202,8.36899635416688,100
"D3","Dataset 3","Poisson",0.940358765125275,0.921394467353821,0.220909017324077,100
"D3","Dataset 3","NB",4.30088547229767,4.31290411949158,0.663094221982285,100
"D3","Dataset 3","ZIP",4.73145075798035,4.6818585395813,0.942739121165576,100
"D3","Dataset 3","ZINB",7.84434476852417,7.64001262187958,1.46117797291912,100
"D3","Dataset 3","P+NB",17.3086959671974,16.921413898468,3.03475557561902,100
"D3","Dataset 3","Z+P+NB",21.7429359650612,21.7342449426651,2.11163160262198,100
"D3","Dataset 3","ZIP--ZINB",40.4139596819878,39.9404207468033,5.19349432698067,100
"D4","Dataset 4","Poisson",0.799259181022644,0.764050245285034,0.228190716904187,100
"D4","Dataset 4","NB",1.72075721979141,1.66879177093506,0.382938000583243,100
"D4","Dataset 4","ZIP",4.90828460931778,4.89030170440674,0.974311675739318,100
"D4","Dataset 4","ZINB",4.76954712152481,4.6304292678833,1.280191019261,100
"D4","Dataset 4","P+NB",10.6029609560966,10.7428513765335,1.75549202759815,100
"D4","Dataset 4","Z+P+NB",20.9121303224564,20.8859139680862,2.21300215228252,100
"D4","Dataset 4","ZIP--ZINB",39.2417461204529,39.3741729259491,4.0441576857915,100
