"Scenario","RestrictedModel","RejectionRate","MeanObservedLRT","MeanBootstrapQ95","MeanBootstrapP","MinBootstrapP","MaxBootstrapP","Reps","B"
"D1","Poisson",1,107693.530882485,8.95938000933834,0.01,0.01,0.01,20,99
"D1","NB",1,3949.0255605201,13.8187242070385,0.01,0.01,0.01,20,99
"D1","ZIP",1,52810.3755421305,12.4632252200472,0.01,0.01,0.01,20,99
"D1","ZINB",1,2445.01652169639,12.4719572821461,0.01,0.01,0.01,20,99
"D1","P+NB",1,1264.20514390132,8.17403682577191,0.01,0.01,0.01,20,99
"D1","Z+P+NB",1,135.159785947691,5.60395509845512,0.01,0.01,0.01,20,99
"D2","Poisson",1,123078.47157239,9.64065839331946,0.01,0.01,0.01,20,99
"D2","NB",1,4616.2519838874,14.9295417996067,0.01,0.01,0.01,20,99
"D2","ZIP",1,21965.738847702,12.3971615174167,0.01,0.01,0.01,20,99
"D2","ZINB",1,124.690457271571,13.7977154777744,0.01,0.01,0.01,20,99
"D2","P+NB",1,4197.33011242412,8.85531380272732,0.01,0.01,0.01,20,99
"D2","Z+P+NB",1,40.1916039572094,6.12065263491015,0.01,0.01,0.01,20,99
"D3","Poisson",1,88367.6670488832,9.77225833898097,0.01,0.01,0.01,20,99
"D3","NB",1,8153.50198355491,14.153100476377,0.01,0.01,0.01,20,99
"D3","ZIP",1,27101.3117664402,12.8501201971744,0.01,0.01,0.01,20,99
"D3","ZINB",1,1144.65731535865,13.7685589403001,0.01,0.01,0.01,20,99
"D3","P+NB",1,6698.89933182178,8.89699140648834,0.01,0.01,0.01,20,99
"D3","Z+P+NB",1,44.1732647249883,6.07511472494388,0.01,0.01,0.01,20,99
"D4","Poisson",1,60794.7129573681,9.7403953289771,0.01,0.01,0.01,20,99
"D4","NB",1,6387.8342033871,14.8125178247689,0.01,0.01,0.01,20,99
"D4","ZIP",1,13213.2621721288,12.6232316009895,0.01,0.01,0.01,20,99
"D4","ZINB",1,492.626683443796,13.8357786501007,0.01,0.01,0.01,20,99
"D4","P+NB",1,2692.93349335677,8.49055695746887,0.01,0.01,0.01,20,99
"D4","Z+P+NB",1,45.4771714140552,5.94770319395138,0.01,0.01,0.01,20,99
