Scenario,Dataset,Rep,elapsed_sec
D1,Dataset 1,7,333.5513014793396
D1,Dataset 1,0,335.31933665275574
D1,Dataset 1,4,338.1847379207611
D1,Dataset 1,3,342.6731746196747
D1,Dataset 1,2,349.21468710899353
D1,Dataset 1,1,357.23967027664185
D1,Dataset 1,5,358.4852855205536
D1,Dataset 1,6,396.1687755584717
D1,Dataset 1,8,306.6403932571411
D1,Dataset 1,11,306.03787875175476
D1,Dataset 1,9,324.8082265853882
D1,Dataset 1,14,303.9034764766693
D1,Dataset 1,10,325.164701461792
D1,Dataset 1,12,328.7149064540863
D1,Dataset 1,13,334.5931007862091
D1,Dataset 1,15,326.2300217151642
D1,Dataset 1,19,288.74284172058105
D1,Dataset 1,17,308.4964199066162
D1,Dataset 1,18,305.1944296360016
D1,Dataset 1,16,333.01282691955566
D1,Dataset 1,20,323.5380744934082
D1,Dataset 1,21,322.47285890579224
D1,Dataset 1,22,315.05725479125977
D1,Dataset 1,23,329.0623080730438
D1,Dataset 1,26,305.39274168014526
D1,Dataset 1,28,296.0485191345215
D1,Dataset 1,27,318.0686249732971
D1,Dataset 1,25,339.02272295951843
D1,Dataset 1,24,346.6267499923706
D1,Dataset 1,29,317.65200686454773
D1,Dataset 1,30,334.49763536453247
D1,Dataset 1,31,316.1063542366028
D1,Dataset 1,33,290.53735613822937
D1,Dataset 1,34,286.48672580718994
D1,Dataset 1,35,304.3072612285614
D1,Dataset 1,32,338.25150775909424
D1,Dataset 1,36,320.94514179229736
D1,Dataset 1,37,310.9137990474701
D1,Dataset 1,38,338.59291219711304
D1,Dataset 1,39,328.5145173072815
D1,Dataset 1,42,315.00700998306274
D1,Dataset 1,41,350.2828848361969
D1,Dataset 1,40,363.38897490501404
D1,Dataset 1,43,334.1299841403961
D1,Dataset 1,45,323.5680785179138
D1,Dataset 1,44,358.80011439323425
D1,Dataset 1,47,341.2167932987213
D1,Dataset 1,46,359.48325204849243
D1,Dataset 1,48,454.6504030227661
D1,Dataset 1,50,454.62194561958313
D1,Dataset 1,49,483.4017868041992
D1,Dataset 1,51,475.462886095047
D1,Dataset 1,52,470.4338834285736
D1,Dataset 1,53,451.3346140384674
D1,Dataset 1,55,462.33861660957336
D1,Dataset 1,54,502.08221673965454
D1,Dataset 1,56,477.3210663795471
D1,Dataset 1,58,464.6592948436737
D1,Dataset 1,61,466.6871178150177
D1,Dataset 1,57,515.8651633262634
D1,Dataset 1,59,492.5318691730499
D1,Dataset 1,60,491.98670196533203
D1,Dataset 1,63,443.8793685436249
D1,Dataset 1,62,483.6613118648529
D1,Dataset 1,64,477.50485467910767
D1,Dataset 1,65,482.3095829486847
D1,Dataset 1,68,448.85938262939453
D1,Dataset 1,69,474.58626770973206
D1,Dataset 1,67,492.9079234600067
D1,Dataset 1,66,540.3793666362762
D1,Dataset 1,70,482.09378147125244
D1,Dataset 1,71,520.4792394638062
D1,Dataset 1,73,437.38558626174927
D1,Dataset 1,72,519.153582572937
D1,Dataset 1,74,491.8198721408844
D1,Dataset 1,75,479.58891773223877
D1,Dataset 1,77,463.2580626010895
D1,Dataset 1,76,504.49292826652527
D1,Dataset 1,78,462.64647817611694
D1,Dataset 1,79,491.17677903175354
D1,Dataset 1,80,427.7349781990051
D1,Dataset 1,82,417.92405438423157
D1,Dataset 1,83,408.85968494415283
D1,Dataset 1,81,439.5885856151581
D1,Dataset 1,86,361.5777623653412
D1,Dataset 1,84,394.979296207428
D1,Dataset 1,85,408.50927543640137
D1,Dataset 1,87,356.8925676345825
D1,Dataset 1,88,270.4491751194
D1,Dataset 1,89,273.8902950286865
D1,Dataset 1,90,266.11310291290283
D1,Dataset 1,93,269.09705424308777
D1,Dataset 1,92,276.26236748695374
D1,Dataset 1,91,310.5614655017853
D1,Dataset 1,94,291.50057768821716
D1,Dataset 1,95,276.3351991176605
D2,Dataset 2,0,209.23665046691895
D1,Dataset 1,96,281.4342966079712
D2,Dataset 2,1,198.9146535396576
D1,Dataset 1,97,275.9750771522522
D2,Dataset 2,2,217.8642475605011
D1,Dataset 1,99,277.13862109184265
D1,Dataset 1,98,316.69845271110535
D2,Dataset 2,3,260.90024638175964
D2,Dataset 2,8,220.0459499359131
D2,Dataset 2,5,274.9543311595917
D2,Dataset 2,7,241.4986231327057
D2,Dataset 2,10,211.8252935409546
D2,Dataset 2,9,237.49633836746216
D2,Dataset 2,6,302.6615288257599
D2,Dataset 2,4,348.59804248809814
D2,Dataset 2,11,302.2629232406616
D2,Dataset 2,13,224.44849705696106
D2,Dataset 2,12,242.74399852752686
D2,Dataset 2,16,211.551824092865
D2,Dataset 2,14,237.0695984363556
D2,Dataset 2,17,247.95581316947937
D2,Dataset 2,15,274.5640547275543
D2,Dataset 2,18,234.90573072433472
D2,Dataset 2,19,255.74880957603455
D2,Dataset 2,22,221.4457290172577
D2,Dataset 2,21,227.03073525428772
D2,Dataset 2,24,188.54637598991394
D2,Dataset 2,20,257.98233819007874
D2,Dataset 2,23,271.4871771335602
D2,Dataset 2,25,232.09361171722412
D2,Dataset 2,26,245.4121413230896
D2,Dataset 2,28,198.1027693748474
D2,Dataset 2,27,262.1752259731293
D2,Dataset 2,31,214.9510200023651
D2,Dataset 2,30,235.32495665550232
D2,Dataset 2,29,256.1483132839203
D2,Dataset 2,32,224.9967122077942
D2,Dataset 2,33,301.60063123703003
D2,Dataset 2,36,221.8266077041626
D2,Dataset 2,34,330.77552342414856
D2,Dataset 2,35,241.40763020515442
D2,Dataset 2,40,199.06780982017517
D2,Dataset 2,39,225.9656162261963
D2,Dataset 2,37,253.69670033454895
D2,Dataset 2,38,238.84937286376953
D2,Dataset 2,44,186.65682649612427
