Scenario,Dataset,Rep,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,reject,method
D1,Dataset 1,7,Poisson,ZIP--ZINB,-98260.31984079683,-44505.09805151734,107510.44357855897,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,7,NB,ZIP--ZINB,-46494.99826396565,-44505.09805151734,3979.800424896617,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,7,P+NB,ZIP--ZINB,-45118.619803023794,-44505.09805151734,1227.043503012901,nan,2,9.2930971342542e-268,True,chi-bar² heuristic; k=2
D1,Dataset 1,7,ZIP,ZIP--ZINB,-70754.75282505428,-44505.09805151734,52499.30954707388,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,7,ZINB,ZIP--ZINB,-45746.74454976103,-44505.09805151734,2483.2929964873765,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,7,Z+P+NB,ZIP--ZINB,-44581.18114320585,-44505.09805151734,152.16618337701948,2,0,9.068451059364315e-34,True,chi²(df=2)
D1,Dataset 1,0,Poisson,ZIP--ZINB,-96454.12875961249,-44265.33089898291,104377.59572125916,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,0,NB,ZIP--ZINB,-46221.44201073835,-44265.33089898291,3912.2222235108784,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,0,P+NB,ZIP--ZINB,-44881.699676297,-44265.33089898291,1232.7375546281837,nan,2,5.390998720442006e-269,True,chi-bar² heuristic; k=2
D1,Dataset 1,0,ZIP,ZIP--ZINB,-69533.05900924621,-44265.33089898291,50535.4562205266,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,0,ZINB,ZIP--ZINB,-45461.19430404533,-44265.33089898291,2391.7268101248483,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,0,Z+P+NB,ZIP--ZINB,-44329.787262764155,-44265.33089898291,128.91272756249236,2,0,1.0161478117567824e-28,True,chi²(df=2)
D1,Dataset 1,4,Poisson,ZIP--ZINB,-99777.57003633717,-45076.69949353422,109401.7410856059,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,4,NB,ZIP--ZINB,-47024.4649354604,-45076.69949353422,3895.530883852349,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,4,P+NB,ZIP--ZINB,-45659.398393571195,-45076.69949353422,1165.3978000739444,nan,2,2.2638482328698626e-254,True,chi-bar² heuristic; k=2
D1,Dataset 1,4,ZIP,ZIP--ZINB,-72538.24003760351,-45076.69949353422,54923.08108813857,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,4,ZINB,ZIP--ZINB,-46351.06919357478,-45076.69949353422,2548.739400081118,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,4,Z+P+NB,ZIP--ZINB,-45147.38365710888,-45076.69949353422,141.36832714932098,2,0,2.0056622553778163e-31,True,chi²(df=2)
D1,Dataset 1,3,Poisson,ZIP--ZINB,-98966.95792697891,-44352.2618408978,109229.39217216222,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,3,NB,ZIP--ZINB,-46322.20371548276,-44352.2618408978,3939.8837491699232,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,3,P+NB,ZIP--ZINB,-44974.30891407196,-44352.2618408978,1244.0941463483177,nan,2,1.8430218944442325e-271,True,chi-bar² heuristic; k=2
D1,Dataset 1,3,ZIP,ZIP--ZINB,-70808.36554500423,-44352.2618408978,52912.20740821285,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,3,ZINB,ZIP--ZINB,-45578.45588171332,-44352.2618408978,2452.388081631041,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,3,Z+P+NB,ZIP--ZINB,-44424.15085140137,-44352.2618408978,143.77802100713598,2,0,6.011729468195694e-32,True,chi²(df=2)
D1,Dataset 1,2,Poisson,ZIP--ZINB,-98548.57913035358,-44370.20530300637,108356.74765469442,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,2,NB,ZIP--ZINB,-46278.05642360437,-44370.20530300637,3815.702241196006,nan,2,0.0,True,chi-bar² heuristic; k=2
