Scenario,Dataset,Coefficient,CoefficientLatex,true,mean_estimate,empirical_sd,rmse,n_success
D1,Dataset 1,beta_z[0],$\beta_{10}$,2.0,2.0119150219570123,0.046924960148595714,0.048186098766489736,100
D1,Dataset 1,beta_z[1],$\beta_{11}$,1.0,0.9922868386051885,0.038986192794158825,0.03955018147872269,100
D1,Dataset 1,gamma_z[0],$\gamma_{10}$,-2.0,-1.9964292299392001,0.11368409197688858,0.11317058999470965,100
D1,Dataset 1,gamma_z[1],$\gamma_{11}$,1.0,0.9986068914991384,0.05269513488274686,0.05244950161062495,100
D1,Dataset 1,beta_nb[0],$\beta_{20}$,4.0,3.98643666866347,0.4324656653145168,0.4305116143800454,100
D1,Dataset 1,beta_nb[1],$\beta_{21}$,3.5,3.518163463054754,0.23790092984935182,0.23740428658534324,100
D1,Dataset 1,gamma_nb[0],$\gamma_{20}$,1.0,1.0247330181341814,0.21886987997495647,0.21917277728466888,100
D1,Dataset 1,gamma_nb[1],$\gamma_{21}$,-3.0,-3.0562664200062413,0.44525840225888585,0.446585271090117,100
D2,Dataset 2,beta_z[0],$\beta_{10}$,5.0,4.946422639583031,0.22931063461771714,0.23436737619929549,100
D2,Dataset 2,beta_z[1],$\beta_{11}$,-0.5,-0.43638017886462604,0.6875528661476308,0.6870583206334383,100
D2,Dataset 2,gamma_z[0],$\gamma_{10}$,0.09999999999999998,0.06387227686419648,0.12937664602920448,0.13370170436971132,100
D2,Dataset 2,gamma_z[1],$\gamma_{11}$,3.100000000000002,3.0643545336479185,0.3679909972892766,0.36787742471719315,100
D2,Dataset 2,beta_nb[0],$\beta_{20}$,10.0,10.166474770616425,0.5165080997640371,0.5402098297906368,100
D2,Dataset 2,beta_nb[1],$\beta_{21}$,2.5,2.3697038433395257,0.5366007730028572,0.5495799069579255,100
D2,Dataset 2,gamma_nb[0],$\gamma_{20}$,-1.699999999999999,-1.6608817509927525,0.32423594057265415,0.3249736806463508,100
D2,Dataset 2,gamma_nb[1],$\gamma_{21}$,2.0,1.98975562130208,0.10934380187839383,0.1092769583857257,100
D3,Dataset 3,beta_z[0],$\beta_{10}$,7.0,6.757330016443044,0.09042323072012637,0.25881135594648813,100
D3,Dataset 3,beta_z[1],$\beta_{11}$,-2.5,-2.2525141035808485,0.030131664965606653,0.24929522054715525,100
D3,Dataset 3,gamma_z[0],$\gamma_{10}$,-2.5,-3.17280411130379,0.5476960994126605,0.8658156150855721,100
D3,Dataset 3,gamma_z[1],$\gamma_{11}$,2.0,2.3322601903168887,0.22597311110908702,0.4011857955415317,100
D3,Dataset 3,beta_nb[0],$\beta_{20}$,8.0,8.037194991721003,0.34325286176606123,0.34355169807266317,100
D3,Dataset 3,beta_nb[1],$\beta_{21}$,2.5,2.7210249025808873,0.5270330499460149,0.5690678386088388,100
D3,Dataset 3,gamma_nb[0],$\gamma_{20}$,-2.5,-2.314650024137488,0.2581738591234288,0.31676776614985785,100
D3,Dataset 3,gamma_nb[1],$\gamma_{21}$,2.5,2.458355083494393,0.10130818523476784,0.10906426537764517,100
D4,Dataset 4,beta_z[0],$\beta_{10}$,5.0,5.1372215999062,0.15852637075714512,0.20906714616121436,100
D4,Dataset 4,beta_z[1],$\beta_{11}$,1.5,1.4789052530639852,0.10217986952047683,0.10383307192876433,100
D4,Dataset 4,gamma_z[0],$\gamma_{10}$,-2.5,-1.139118699472776,0.10595285067604873,1.3649584831141883,100
D4,Dataset 4,gamma_z[1],$\gamma_{11}$,2.0,1.6134019401856006,0.07163733544335601,0.3931140402012979,100
D4,Dataset 4,beta_nb[0],$\beta_{20}$,6.0,4.874439164903395,0.13752189814422872,1.133847583781818,100
D4,Dataset 4,beta_nb[1],$\beta_{21}$,-3.5,-1.6248858455636395,0.045850628782479426,1.875669040509476,100
D4,Dataset 4,gamma_nb[0],$\gamma_{20}$,-2.5,-7.33580656882758,0.6984306230175001,4.885483850442342,100
D4,Dataset 4,gamma_nb[1],$\gamma_{21}$,2.0,5.605384580331962,0.4228638164241862,3.629851738193158,100
