Scenario,Dataset,Rep,elapsed_sec
D3,Dataset 3,6,155.59099435806274
D3,Dataset 3,5,158.79978251457214
D3,Dataset 3,13,160.37337112426758
D3,Dataset 3,3,161.09416127204895
D3,Dataset 3,1,163.39259123802185
D3,Dataset 3,8,164.2001793384552
D3,Dataset 3,14,167.18386816978455
D3,Dataset 3,4,168.17060732841492
D3,Dataset 3,11,168.23815751075745
D3,Dataset 3,7,169.90957832336426
D3,Dataset 3,2,172.29770016670227
D3,Dataset 3,12,172.49666738510132
D3,Dataset 3,0,176.9367733001709
D3,Dataset 3,10,179.59466552734375
D3,Dataset 3,9,181.36497473716736
D3,Dataset 3,25,144.87749981880188
D3,Dataset 3,15,164.25605535507202
D3,Dataset 3,16,167.42771196365356
D3,Dataset 3,17,166.59585547447205
D3,Dataset 3,18,168.36908078193665
D3,Dataset 3,29,148.26111841201782
D3,Dataset 3,22,162.23184728622437
D3,Dataset 3,21,163.38194465637207
D3,Dataset 3,20,171.61891150474548
D3,Dataset 3,19,172.51040315628052
D3,Dataset 3,26,164.96904015541077
D3,Dataset 3,24,170.03599071502686
D3,Dataset 3,28,172.10793805122375
D3,Dataset 3,23,184.08956575393677
D3,Dataset 3,27,175.8166618347168
D3,Dataset 3,30,158.2278115749359
D3,Dataset 3,31,161.004136800766
D3,Dataset 3,34,157.2345941066742
D3,Dataset 3,36,157.39234900474548
D3,Dataset 3,33,160.95823788642883
D3,Dataset 3,39,155.63354444503784
D3,Dataset 3,38,157.79153275489807
D3,Dataset 3,32,170.3096272945404
D3,Dataset 3,40,163.46322631835938
D3,Dataset 3,41,161.7967882156372
D3,Dataset 3,35,178.5255846977234
D3,Dataset 3,37,180.49271178245544
D3,Dataset 3,44,164.48819494247437
D3,Dataset 3,42,165.78058123588562
D3,Dataset 3,43,178.50543808937073
D3,Dataset 3,45,171.3192446231842
D3,Dataset 3,46,169.60803771018982
D3,Dataset 3,52,155.08771657943726
D3,Dataset 3,48,166.43689227104187
D3,Dataset 3,47,171.02954006195068
D3,Dataset 3,49,173.88421773910522
D3,Dataset 3,50,175.0672163963318
D3,Dataset 3,56,157.1589012145996
D3,Dataset 3,54,171.62902998924255
D3,Dataset 3,58,161.08076167106628
D3,Dataset 3,57,163.17536640167236
D3,Dataset 3,53,179.98066592216492
D3,Dataset 3,55,176.48127675056458
D3,Dataset 3,51,191.2636604309082
D3,Dataset 3,59,187.13520622253418
D3,Dataset 3,60,150.2458038330078
D3,Dataset 3,63,146.40600538253784
D3,Dataset 3,62,151.1787588596344
D3,Dataset 3,64,155.87115478515625
D3,Dataset 3,65,158.87765192985535
D3,Dataset 3,67,157.22553873062134
D3,Dataset 3,72,143.19536638259888
D3,Dataset 3,66,163.2436637878418
D3,Dataset 3,69,160.55992770195007
D3,Dataset 3,61,197.4752197265625
D3,Dataset 3,73,166.95984482765198
D3,Dataset 3,71,174.03360795974731
D3,Dataset 3,70,189.53277683258057
D3,Dataset 3,68,201.53260731697083
D3,Dataset 3,74,159.40856623649597
D3,Dataset 3,77,152.5331060886383
D3,Dataset 3,75,160.9709277153015
D3,Dataset 3,76,164.19472908973694
D3,Dataset 3,78,161.5105004310608
D3,Dataset 3,79,160.6346197128296
D3,Dataset 3,83,144.2138855457306
D3,Dataset 3,80,159.9633047580719
D3,Dataset 3,81,158.0090355873108
D3,Dataset 3,82,164.12790942192078
D3,Dataset 3,84,167.1527497768402
D3,Dataset 3,86,161.16970539093018
D3,Dataset 3,89,144.68789720535278
D3,Dataset 3,87,160.94800448417664
D3,Dataset 3,88,163.82290148735046
D3,Dataset 3,85,188.2079737186432
D3,Dataset 3,92,164.21474480628967
D3,Dataset 3,97,148.32561326026917
D3,Dataset 3,91,178.6824016571045
D3,Dataset 3,94,155.7260777950287
D3,Dataset 3,90,181.79653930664062
D3,Dataset 3,95,161.3942108154297
D3,Dataset 3,93,174.18573474884033
D3,Dataset 3,98,164.6170973777771
D3,Dataset 3,96,175.15170431137085
D3,Dataset 3,99,155.60357403755188
