Scenario,Dataset,Rep,Coefficient,CoefficientLatex,true,estimate
D3,Dataset 3,6,beta_z[0],$\beta_{10}$,6.6,6.504248878196342
D3,Dataset 3,6,beta_z[1],$\beta_{11}$,-2.1,-2.0541967820531264
D3,Dataset 3,6,gamma_z[0],$\gamma_{10}$,-2.5,-3.3062369803098774
D3,Dataset 3,6,gamma_z[1],$\gamma_{11}$,2.0,2.3952579505959144
D3,Dataset 3,6,beta_nb[0],$\beta_{20}$,8.0,8.240126426152296
D3,Dataset 3,6,beta_nb[1],$\beta_{21}$,2.5,2.3483982422699383
D3,Dataset 3,6,gamma_nb[0],$\gamma_{20}$,-2.5,-2.2436775272453073
D3,Dataset 3,6,gamma_nb[1],$\gamma_{21}$,2.5,2.3838342284511005
D3,Dataset 3,5,beta_z[0],$\beta_{10}$,6.6,6.726333467794873
D3,Dataset 3,5,beta_z[1],$\beta_{11}$,-2.1,-2.2012469205561596
D3,Dataset 3,5,gamma_z[0],$\gamma_{10}$,-2.5,-3.0019335813722816
D3,Dataset 3,5,gamma_z[1],$\gamma_{11}$,2.0,2.2343194303860017
D3,Dataset 3,5,beta_nb[0],$\beta_{20}$,8.0,7.868206969238146
D3,Dataset 3,5,beta_nb[1],$\beta_{21}$,2.5,2.8298376406882055
D3,Dataset 3,5,gamma_nb[0],$\gamma_{20}$,-2.5,-2.2257280758596325
D3,Dataset 3,5,gamma_nb[1],$\gamma_{21}$,2.5,2.373587091241604
D3,Dataset 3,13,beta_z[0],$\beta_{10}$,6.6,6.620272791409249
D3,Dataset 3,13,beta_z[1],$\beta_{11}$,-2.1,-2.0739947352436165
D3,Dataset 3,13,gamma_z[0],$\gamma_{10}$,-2.5,-2.4013713337198177
D3,Dataset 3,13,gamma_z[1],$\gamma_{11}$,2.0,1.9905726878797443
D3,Dataset 3,13,beta_nb[0],$\beta_{20}$,8.0,8.158736742603713
D3,Dataset 3,13,beta_nb[1],$\beta_{21}$,2.5,2.1619257988383365
D3,Dataset 3,13,gamma_nb[0],$\gamma_{20}$,-2.5,-2.359582325128363
D3,Dataset 3,13,gamma_nb[1],$\gamma_{21}$,2.5,2.4155141691235116
D3,Dataset 3,3,beta_z[0],$\beta_{10}$,6.6,6.459622900698211
D3,Dataset 3,3,beta_z[1],$\beta_{11}$,-2.1,-1.9863599474842606
D3,Dataset 3,3,gamma_z[0],$\gamma_{10}$,-2.5,-3.184743182312477
D3,Dataset 3,3,gamma_z[1],$\gamma_{11}$,2.0,2.2383621387769495
D3,Dataset 3,3,beta_nb[0],$\beta_{20}$,8.0,7.628332340838984
D3,Dataset 3,3,beta_nb[1],$\beta_{21}$,2.5,2.854351745809545
D3,Dataset 3,3,gamma_nb[0],$\gamma_{20}$,-2.5,-2.2895174277412966
D3,Dataset 3,3,gamma_nb[1],$\gamma_{21}$,2.5,2.478539390083441
D3,Dataset 3,1,beta_z[0],$\beta_{10}$,6.6,6.684986144267051
D3,Dataset 3,1,beta_z[1],$\beta_{11}$,-2.1,-2.1272438925446426
D3,Dataset 3,1,gamma_z[0],$\gamma_{10}$,-2.5,-2.363882092443023
D3,Dataset 3,1,gamma_z[1],$\gamma_{11}$,2.0,2.0028594270533144
