Scenario,Dataset,Rep,Parameter,Scale,true,estimate,se,lower95,upper95,covered,CovarianceStatus
D3,Dataset 3,6,logit_rho,optimizer,-0.4054651081081643,-0.5093527344706094,0.09274391061078759,-0.691130799267753,-0.3275746696734657,True,inverse
D3,Dataset 3,6,beta_z[0],optimizer,6.6,6.504248878196342,0.11044153664481465,6.287783466372505,6.720714290020179,True,inverse
D3,Dataset 3,6,beta_z[1],optimizer,-2.1,-2.0541967820531264,0.07381406339486535,-2.1988723463070623,-1.9095212177991903,True,inverse
D3,Dataset 3,6,gamma_z[0],optimizer,-2.5,-3.3062369803098774,0.38677194966332784,-4.06431000165,-2.548163958969755,False,inverse
D3,Dataset 3,6,gamma_z[1],optimizer,2.0,2.3952579505959144,0.16792971904168721,2.0661157012742075,2.7244001999176213,False,inverse
D3,Dataset 3,6,beta_nb[0],optimizer,8.0,8.240126426152296,0.313527308616358,7.625612901264234,8.854639951040358,True,inverse
D3,Dataset 3,6,beta_nb[1],optimizer,2.5,2.3483982422699383,0.4312499916929278,1.5031482585518,3.1936482259880767,True,inverse
D3,Dataset 3,6,gamma_nb[0],optimizer,-2.5,-2.2436775272453073,0.13350198140290367,-2.5053414107949985,-1.9820136436956162,True,inverse
D3,Dataset 3,6,gamma_nb[1],optimizer,2.5,2.3838342284511005,0.0680912915864444,2.2503752969416695,2.5172931599605315,True,inverse
D3,Dataset 3,6,log_alpha,optimizer,0.0,0.046104005119527496,0.053528946388106825,-0.058812729801161874,0.15102074004021687,True,inverse
D3,Dataset 3,6,rho,natural_delta,0.4,0.3753452719346026,0.021744848460510325,0.33272536895200233,0.41796517491720286,True,inverse
D3,Dataset 3,6,alpha,natural_delta,1.0,1.047183317719535,0.05605461967272883,0.9373162631609866,1.1570503722780836,True,inverse
D3,Dataset 3,5,logit_rho,optimizer,-0.4054651081081643,-0.5019342568316085,0.10562938863854089,-0.7089678585631487,-0.29490065510006835,True,inverse
D3,Dataset 3,5,beta_z[0],optimizer,6.6,6.726333467794873,0.11752839940830613,6.4959778049545935,6.956689130635153,True,inverse
D3,Dataset 3,5,beta_z[1],optimizer,-2.1,-2.2012469205561596,0.07631557310665497,-2.350825443845203,-2.051668397267116,True,inverse
D3,Dataset 3,5,gamma_z[0],optimizer,-2.5,-3.0019335813722816,0.39903070699670007,-3.7840337670858135,-2.2198333956587497,True,inverse
D3,Dataset 3,5,gamma_z[1],optimizer,2.0,2.2343194303860017,0.1703175653540154,1.9004970022921315,2.568141858479872,True,inverse
D3,Dataset 3,5,beta_nb[0],optimizer,8.0,7.868206969238146,0.3000537530053938,7.280101613347575,8.456312325128717,True,inverse
D3,Dataset 3,5,beta_nb[1],optimizer,2.5,2.8298376406882055,0.43288009280560485,1.98139265878922,3.678282622587191,True,inverse
D3,Dataset 3,5,gamma_nb[0],optimizer,-2.5,-2.2257280758596325,0.149531244026931,-2.518809314152417,-1.9326468375668477,True,inverse
D3,Dataset 3,5,gamma_nb[1],optimizer,2.5,2.373587091241604,0.07056598578571659,2.2352777591015998,2.5118964233816086,True,inverse
D3,Dataset 3,5,log_alpha,optimizer,0.0,-0.037841690609603525,0.053990234832076885,-0.14366255088047422,0.06797916966126716,True,inverse
D3,Dataset 3,5,rho,natural_delta,0.4,0.3770862190485655,0.024811519740988667,0.3284556403562277,0.42571679774090326,True,inverse
D3,Dataset 3,5,alpha,natural_delta,1.0,0.9628653594543254,0.05198532686861115,0.8609741187918476,1.0647566001168032,True,inverse
D3,Dataset 3,13,logit_rho,optimizer,-0.4054651081081643,-0.3409708670307816,0.11566809638000507,-0.5676803359355915,-0.11426139812597169,True,inverse
