Scenario,Dataset,Rep,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,reject,method
D3,Dataset 3,6,Poisson,ZIP--ZINB,-73965.20381496129,-29073.11839653926,89784.17083684407,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,6,NB,ZIP--ZINB,-33221.91072658813,-29073.11839653926,8297.584660097746,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,6,P+NB,ZIP--ZINB,-32485.88749502009,-29073.11839653926,6825.538196961665,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,6,ZIP,ZIP--ZINB,-43248.47053264277,-29073.11839653926,28350.704272207025,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,6,ZINB,ZIP--ZINB,-29652.88070054196,-29073.11839653926,1159.5246080053985,nan,1,1.9090921674017404e-254,True,chi-bar² heuristic; k=1
D3,Dataset 3,6,Z+P+NB,ZIP--ZINB,-29087.750271834426,-29073.11839653926,29.263750590333075,2,0,4.4203565302622373e-07,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,5,Poisson,ZIP--ZINB,-73121.00653083732,-28993.063776135943,88255.88550940275,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,5,NB,ZIP--ZINB,-33077.029712922405,-28993.063776135943,8167.931873572925,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,5,P+NB,ZIP--ZINB,-32347.263027961286,-28993.063776135943,6708.398503650686,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,5,ZIP,ZIP--ZINB,-42220.2561107174,-28993.063776135943,26454.384669162908,nan,1,0.0,True,chi-bar² heuristic; k=1
D3,Dataset 3,5,ZINB,ZIP--ZINB,-29557.391993785597,-28993.063776135943,1128.6564352993082,nan,1,9.76369797912885e-248,True,chi-bar² heuristic; k=1
D3,Dataset 3,5,Z+P+NB,ZIP--ZINB,-29009.450149931086,-28993.063776135943,32.7727475902866,2,0,7.646950560369955e-08,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D3,Dataset 3,13,Poisson,ZIP--ZINB,-71260.61582602852,-28953.688807719678,84613.85403661767,nan,2,0.0,True,chi-bar² heuristic; k=2
D3,Dataset 3,13,NB,ZIP--ZINB,-32959.34494093936,-28953.688807719678,8011.3122664393595,nan,2,0.0,True,chi-bar² heuristic; k=2
