Scenario,DatasetLabel,Rep,Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message,fit_elapsed_sec
D3,Dataset 3,6,D3,Poisson,identity,-73965.20381496129,147934.40762992259,147950.21460502766,20000,2,True,13,8452.416285356196,not_computed,nan,0,Optimization terminated successfully,1.3355522155761719
D3,Dataset 3,6,D3,NB,identity,-33221.91072658813,66449.82145317626,66473.53191583387,20000,3,True,14,0.0003205923473154288,not_computed,nan,0,Optimization terminated successfully,5.608128070831299
D3,Dataset 3,6,D3,ZIP,identity,-43248.47053264277,86504.94106528554,86536.55501549569,20000,4,True,16,2.616772377749682e-05,not_computed,nan,0,Optimization terminated successfully,7.273808479309082
D3,Dataset 3,6,D3,ZINB,identity,-29652.88070054196,59315.76140108392,59355.2788388466,20000,5,True,18,0.00012748836515735426,not_computed,nan,0,Optimization terminated successfully,12.398576498031616
D3,Dataset 3,6,D3,P+NB,identity,-32485.88749502009,64983.77499004018,65031.1959153554,20000,6,True,46,1543.672425367201,not_computed,nan,0,Optimization terminated successfully,27.19322443008423
D3,Dataset 3,6,D3,Z+P+NB,identity,-29087.750271834426,58191.50054366885,58254.72844408914,20000,8,True,24,0.00014210096797624,not_computed,nan,0,Optimization terminated successfully,32.36993336677551
D3,Dataset 3,6,D3,ZIP--ZINB,identity,-29073.11839653926,58166.23679307852,58245.27166860388,20000,10,True,47,0.0004609782299034443,inverse,3.594080609500661,10,Optimization terminated successfully,69.38912439346313
D3,Dataset 3,5,D3,Poisson,identity,-73121.00653083732,146246.01306167463,146261.8200367797,20000,2,True,14,12809.630731752966,not_computed,nan,0,Optimization terminated successfully,1.3888764381408691
D3,Dataset 3,5,D3,NB,identity,-33077.029712922405,66160.05942584481,66183.76988850241,20000,3,True,18,2476.9366936503898,not_computed,nan,0,Optimization terminated successfully,8.158649682998657
D3,Dataset 3,5,D3,ZIP,identity,-42220.2561107174,84448.5122214348,84480.12617164494,20000,4,True,15,0.00022462891265859208,not_computed,nan,0,Optimization terminated successfully,7.096388339996338
