Scenario,Dataset,Rep,Model,Index,Value
D3,Dataset 3,6,ZIP--ZINB,0,-0.5093527344706094
D3,Dataset 3,6,ZIP--ZINB,1,6.504248878196342
D3,Dataset 3,6,ZIP--ZINB,2,-2.0541967820531264
D3,Dataset 3,6,ZIP--ZINB,3,-3.3062369803098774
D3,Dataset 3,6,ZIP--ZINB,4,2.3952579505959144
D3,Dataset 3,6,ZIP--ZINB,5,8.240126426152296
D3,Dataset 3,6,ZIP--ZINB,6,2.3483982422699383
D3,Dataset 3,6,ZIP--ZINB,7,-2.2436775272453073
D3,Dataset 3,6,ZIP--ZINB,8,2.3838342284511005
D3,Dataset 3,6,ZIP--ZINB,9,0.046104005119527496
D3,Dataset 3,5,ZIP--ZINB,0,-0.5019342568316085
D3,Dataset 3,5,ZIP--ZINB,1,6.726333467794873
D3,Dataset 3,5,ZIP--ZINB,2,-2.2012469205561596
D3,Dataset 3,5,ZIP--ZINB,3,-3.0019335813722816
D3,Dataset 3,5,ZIP--ZINB,4,2.2343194303860017
D3,Dataset 3,5,ZIP--ZINB,5,7.868206969238146
D3,Dataset 3,5,ZIP--ZINB,6,2.8298376406882055
D3,Dataset 3,5,ZIP--ZINB,7,-2.2257280758596325
D3,Dataset 3,5,ZIP--ZINB,8,2.373587091241604
D3,Dataset 3,5,ZIP--ZINB,9,-0.037841690609603525
D3,Dataset 3,13,ZIP--ZINB,0,-0.3409708670307816
D3,Dataset 3,13,ZIP--ZINB,1,6.620272791409249
D3,Dataset 3,13,ZIP--ZINB,2,-2.0739947352436165
D3,Dataset 3,13,ZIP--ZINB,3,-2.4013713337198177
D3,Dataset 3,13,ZIP--ZINB,4,1.9905726878797443
D3,Dataset 3,13,ZIP--ZINB,5,8.158736742603713
D3,Dataset 3,13,ZIP--ZINB,6,2.1619257988383365
D3,Dataset 3,13,ZIP--ZINB,7,-2.359582325128363
D3,Dataset 3,13,ZIP--ZINB,8,2.4155141691235116
D3,Dataset 3,13,ZIP--ZINB,9,-0.06713588060451067
D3,Dataset 3,3,ZIP--ZINB,0,-0.6352429763022428
D3,Dataset 3,3,ZIP--ZINB,1,6.459622900698211
D3,Dataset 3,3,ZIP--ZINB,2,-1.9863599474842606
D3,Dataset 3,3,ZIP--ZINB,3,-3.184743182312477
D3,Dataset 3,3,ZIP--ZINB,4,2.2383621387769495
D3,Dataset 3,3,ZIP--ZINB,5,7.628332340838984
D3,Dataset 3,3,ZIP--ZINB,6,2.854351745809545
D3,Dataset 3,3,ZIP--ZINB,7,-2.2895174277412966
D3,Dataset 3,3,ZIP--ZINB,8,2.478539390083441
D3,Dataset 3,3,ZIP--ZINB,9,-0.06896463022457774
D3,Dataset 3,1,ZIP--ZINB,0,-0.24128055936024606
D3,Dataset 3,1,ZIP--ZINB,1,6.684986144267051
D3,Dataset 3,1,ZIP--ZINB,2,-2.1272438925446426
D3,Dataset 3,1,ZIP--ZINB,3,-2.363882092443023
D3,Dataset 3,1,ZIP--ZINB,4,2.0028594270533144
D3,Dataset 3,1,ZIP--ZINB,5,7.987630174102462
D3,Dataset 3,1,ZIP--ZINB,6,2.756268557687519
D3,Dataset 3,1,ZIP--ZINB,7,-2.579380646661011
D3,Dataset 3,1,ZIP--ZINB,8,2.5070347700369107
D3,Dataset 3,1,ZIP--ZINB,9,-0.009103508394987848
D3,Dataset 3,8,ZIP--ZINB,0,-0.49617731492814854
D3,Dataset 3,8,ZIP--ZINB,1,6.548162448897465
D3,Dataset 3,8,ZIP--ZINB,2,-2.1298387399673233
D3,Dataset 3,8,ZIP--ZINB,3,-2.840145215591007
D3,Dataset 3,8,ZIP--ZINB,4,2.1111162521249174
D3,Dataset 3,8,ZIP--ZINB,5,8.153842600327911
D3,Dataset 3,8,ZIP--ZINB,6,2.3401318716969435
D3,Dataset 3,8,ZIP--ZINB,7,-2.228792852787482
D3,Dataset 3,8,ZIP--ZINB,8,2.393515797747065
D3,Dataset 3,8,ZIP--ZINB,9,-0.07668986595086752
D3,Dataset 3,14,ZIP--ZINB,0,-0.3168168458542242
D3,Dataset 3,14,ZIP--ZINB,1,6.540210299899455
D3,Dataset 3,14,ZIP--ZINB,2,-2.0469102372963404
D3,Dataset 3,14,ZIP--ZINB,3,-2.3764091653850627
D3,Dataset 3,14,ZIP--ZINB,4,1.9613336400831314
D3,Dataset 3,14,ZIP--ZINB,5,8.112687955925113
D3,Dataset 3,14,ZIP--ZINB,6,2.418039327383172
D3,Dataset 3,14,ZIP--ZINB,7,-2.6224608138601595
D3,Dataset 3,14,ZIP--ZINB,8,2.5662083866547634
D3,Dataset 3,14,ZIP--ZINB,9,-0.00012510316980126067
D3,Dataset 3,4,ZIP--ZINB,0,-0.12238660770810356
D3,Dataset 3,4,ZIP--ZINB,1,6.635199595103553
D3,Dataset 3,4,ZIP--ZINB,2,-2.114087560530863
D3,Dataset 3,4,ZIP--ZINB,3,-2.0903624014862854
D3,Dataset 3,4,ZIP--ZINB,4,1.9080970493314964
D3,Dataset 3,4,ZIP--ZINB,5,8.496028305746405
D3,Dataset 3,4,ZIP--ZINB,6,2.3167575187225267
D3,Dataset 3,4,ZIP--ZINB,7,-2.652598248440402
D3,Dataset 3,4,ZIP--ZINB,8,2.4872624213849543
D3,Dataset 3,4,ZIP--ZINB,9,0.007199810409725668
D3,Dataset 3,11,ZIP--ZINB,0,-0.32876197131965224
D3,Dataset 3,11,ZIP--ZINB,1,6.505200991202003
D3,Dataset 3,11,ZIP--ZINB,2,-2.061718370885979
D3,Dataset 3,11,ZIP--ZINB,3,-2.18195118416183
D3,Dataset 3,11,ZIP--ZINB,4,1.9138941800626563
D3,Dataset 3,11,ZIP--ZINB,5,8.146826468305985
D3,Dataset 3,11,ZIP--ZINB,6,2.5719464615696337
D3,Dataset 3,11,ZIP--ZINB,7,-2.5567396546344696
D3,Dataset 3,11,ZIP--ZINB,8,2.4254661445857253
D3,Dataset 3,11,ZIP--ZINB,9,-0.0026578624875261588
D3,Dataset 3,7,ZIP--ZINB,0,-0.2655879086461543
D3,Dataset 3,7,ZIP--ZINB,1,6.4468458931211625
D3,Dataset 3,7,ZIP--ZINB,2,-2.1015901359862346
D3,Dataset 3,7,ZIP--ZINB,3,-2.1202657795359805
D3,Dataset 3,7,ZIP--ZINB,4,1.8712216586124841
D3,Dataset 3,7,ZIP--ZINB,5,8.169268288465299
D3,Dataset 3,7,ZIP--ZINB,6,2.6162179661588776
D3,Dataset 3,7,ZIP--ZINB,7,-2.6721210965737323
D3,Dataset 3,7,ZIP--ZINB,8,2.549529844592387
D3,Dataset 3,7,ZIP--ZINB,9,-0.05651276197272088
D3,Dataset 3,2,ZIP--ZINB,0,-0.3642634450984822
D3,Dataset 3,2,ZIP--ZINB,1,6.54677640279764
D3,Dataset 3,2,ZIP--ZINB,2,-2.071416907196029
D3,Dataset 3,2,ZIP--ZINB,3,-2.4476409349333244
D3,Dataset 3,2,ZIP--ZINB,4,2.006386442792605
D3,Dataset 3,2,ZIP--ZINB,5,8.104881226527572
D3,Dataset 3,2,ZIP--ZINB,6,2.455713548776092
D3,Dataset 3,2,ZIP--ZINB,7,-2.610478165633935
D3,Dataset 3,2,ZIP--ZINB,8,2.5877717627135692
D3,Dataset 3,2,ZIP--ZINB,9,-0.06773808137856116
D3,Dataset 3,12,ZIP--ZINB,0,-0.32953162205162795
D3,Dataset 3,12,ZIP--ZINB,1,6.7865153619214285
D3,Dataset 3,12,ZIP--ZINB,2,-2.2014168569342583
D3,Dataset 3,12,ZIP--ZINB,3,-2.4096439832713346
D3,Dataset 3,12,ZIP--ZINB,4,2.0263149832924996
D3,Dataset 3,12,ZIP--ZINB,5,8.189298206990612
D3,Dataset 3,12,ZIP--ZINB,6,2.2240760666379336
D3,Dataset 3,12,ZIP--ZINB,7,-2.6493214448108224
D3,Dataset 3,12,ZIP--ZINB,8,2.544657416893104
D3,Dataset 3,12,ZIP--ZINB,9,0.06646991721394181
D3,Dataset 3,0,ZIP--ZINB,0,-0.36926197223258
D3,Dataset 3,0,ZIP--ZINB,1,6.616931008985661
D3,Dataset 3,0,ZIP--ZINB,2,-2.0952128460766617
D3,Dataset 3,0,ZIP--ZINB,3,-2.426339219893865
D3,Dataset 3,0,ZIP--ZINB,4,1.907466855238953
D3,Dataset 3,0,ZIP--ZINB,5,8.138900612738668
D3,Dataset 3,0,ZIP--ZINB,6,3.073135626377431
D3,Dataset 3,0,ZIP--ZINB,7,-2.3086673113670204
D3,Dataset 3,0,ZIP--ZINB,8,2.376265028473355
D3,Dataset 3,0,ZIP--ZINB,9,-0.07498099863641314
D3,Dataset 3,10,ZIP--ZINB,0,-0.5036719376226119
D3,Dataset 3,10,ZIP--ZINB,1,6.460385634664729
D3,Dataset 3,10,ZIP--ZINB,2,-2.0076452875353947
D3,Dataset 3,10,ZIP--ZINB,3,-2.5930848890285714
D3,Dataset 3,10,ZIP--ZINB,4,1.9982021890101211
D3,Dataset 3,10,ZIP--ZINB,5,7.800748945462348
D3,Dataset 3,10,ZIP--ZINB,6,2.9493176598897475
D3,Dataset 3,10,ZIP--ZINB,7,-2.451307444768651
D3,Dataset 3,10,ZIP--ZINB,8,2.580209291243856
D3,Dataset 3,10,ZIP--ZINB,9,-0.10295743668880979
D3,Dataset 3,9,ZIP--ZINB,0,-0.560488158973426
D3,Dataset 3,9,ZIP--ZINB,1,6.551597670136087
D3,Dataset 3,9,ZIP--ZINB,2,-2.0416643690485765
D3,Dataset 3,9,ZIP--ZINB,3,-3.005984438451661
D3,Dataset 3,9,ZIP--ZINB,4,2.234945488773563
D3,Dataset 3,9,ZIP--ZINB,5,8.100259581725506
D3,Dataset 3,9,ZIP--ZINB,6,2.472807915529531
D3,Dataset 3,9,ZIP--ZINB,7,-2.3655554181959277
D3,Dataset 3,9,ZIP--ZINB,8,2.47652246110576
D3,Dataset 3,9,ZIP--ZINB,9,0.06088019998533483
D3,Dataset 3,25,ZIP--ZINB,0,-0.4461693319378198
D3,Dataset 3,25,ZIP--ZINB,1,6.833595408613604
D3,Dataset 3,25,ZIP--ZINB,2,-2.211769324071055
D3,Dataset 3,25,ZIP--ZINB,3,-2.5391446117555585
D3,Dataset 3,25,ZIP--ZINB,4,1.985462986769145
D3,Dataset 3,25,ZIP--ZINB,5,7.613225409653562
D3,Dataset 3,25,ZIP--ZINB,6,2.784291165663187
D3,Dataset 3,25,ZIP--ZINB,7,-2.5396016899305427
D3,Dataset 3,25,ZIP--ZINB,8,2.5278610113650624
D3,Dataset 3,25,ZIP--ZINB,9,0.04266674606112893
D3,Dataset 3,15,ZIP--ZINB,0,-0.42159421639710115
D3,Dataset 3,15,ZIP--ZINB,1,6.783249908148808
D3,Dataset 3,15,ZIP--ZINB,2,-2.2079180725643117
D3,Dataset 3,15,ZIP--ZINB,3,-2.3491583128362743
D3,Dataset 3,15,ZIP--ZINB,4,1.9767829871153018
D3,Dataset 3,15,ZIP--ZINB,5,8.276056657645258
D3,Dataset 3,15,ZIP--ZINB,6,1.5471941702672505
D3,Dataset 3,15,ZIP--ZINB,7,-2.7291434349612733
D3,Dataset 3,15,ZIP--ZINB,8,2.5937358571110156
D3,Dataset 3,15,ZIP--ZINB,9,0.0949454576632727
D3,Dataset 3,16,ZIP--ZINB,0,-0.2661278944329058
D3,Dataset 3,16,ZIP--ZINB,1,6.692609075078646
D3,Dataset 3,16,ZIP--ZINB,2,-2.1927144739657045
D3,Dataset 3,16,ZIP--ZINB,3,-2.1939453842257173
