Scenario,Dataset,Rep,Parameter,true,estimate
D3,Dataset 3,6,rho,0.4,0.3753452719346026
D3,Dataset 3,6,lambda,3.433309901354016,3.406627635149638
D3,Dataset 3,6,pi,0.5782608752262006,0.5411634320809298
D3,Dataset 3,6,varphi,11.769869165054743,11.781388074473176
D3,Dataset 3,6,alpha,1.0,1.047183317719535
D3,Dataset 3,6,omega,0.6603703221893665,0.6763836011154181
D3,Dataset 3,5,rho,0.4,0.3770862190485655
D3,Dataset 3,5,lambda,3.432635136905176,3.4062610148590333
D3,Dataset 3,5,pi,0.5778414312065282,0.5513708747290749
D3,Dataset 3,5,varphi,11.770672456065265,12.13636330799004
D3,Dataset 3,5,alpha,1.0,0.9628653594543254
D3,Dataset 3,5,omega,0.6599324498675451,0.6768581831525845
D3,Dataset 3,13,rho,0.4,0.4155736611488751
D3,Dataset 3,13,lambda,3.4579084257202797,3.517091180595218
D3,Dataset 3,13,pi,0.5742012069291312,0.5871318208372377
D3,Dataset 3,13,varphi,11.740585207475856,11.393483807721754
D3,Dataset 3,13,alpha,1.0,0.9350681350805988
D3,Dataset 3,13,omega,0.6566118700445038,0.6625640061142227
D3,Dataset 3,3,rho,0.4,0.3463226612755913
D3,Dataset 3,3,lambda,3.454966035370215,3.484780281260956
D3,Dataset 3,3,pi,0.573239183782118,0.522107548484644
D3,Dataset 3,3,varphi,11.744088053130696,11.903110049206289
D3,Dataset 3,3,alpha,1.0,0.9333596922170845
D3,Dataset 3,3,omega,0.6544923416638985,0.6774097577601085
D3,Dataset 3,1,rho,0.4,0.4399708011809588
D3,Dataset 3,1,lambda,3.441851079749233,3.4858656669575745
D3,Dataset 3,1,pi,0.576517426216467,0.5973138116344636
D3,Dataset 3,1,varphi,11.759701095536625,12.132728540474831
D3,Dataset 3,1,alpha,1.0,0.9909378030827228
D3,Dataset 3,1,omega,0.6586386197114733,0.6498693368745727
D3,Dataset 3,8,rho,0.4,0.37843943361903865
D3,Dataset 3,8,lambda,3.4574246155123065,3.360934450254801
D3,Dataset 3,8,pi,0.5743327183628658,0.5465369119768025
D3,Dataset 3,8,varphi,11.741161172009157,11.655766798637398
D3,Dataset 3,8,alpha,1.0,0.9261770481079399
D3,Dataset 3,8,omega,0.6562060156680698,0.6754580009009818
D3,Dataset 3,14,rho,0.4,0.4214517021834536
D3,Dataset 3,14,lambda,3.44497307303925,3.4649451019272774
D3,Dataset 3,14,pi,0.5759039271567066,0.5868178630742142
D3,Dataset 3,14,varphi,11.755984436858036,11.745535188469859
D3,Dataset 3,14,alpha,1.0,0.999874904655274
D3,Dataset 3,14,omega,0.6580061419875758,0.6520245576099929
D3,Dataset 3,4,rho,0.4,0.46944148190466783
D3,Dataset 3,4,lambda,3.4436056719082786,3.457631030746944
D3,Dataset 3,4,pi,0.5761117297103617,0.6198176891725566
D3,Dataset 3,4,varphi,11.757612295347288,11.978218920822417
D3,Dataset 3,4,alpha,1.0,1.0072257913599036
D3,Dataset 3,4,omega,0.6577884348756404,0.6373135697479684
D3,Dataset 3,11,rho,0.4,0.41854188506244316
D3,Dataset 3,11,lambda,3.4339232983792622,3.396839801027927
D3,Dataset 3,11,pi,0.5777718436601811,0.6086010657217247
D3,Dataset 3,11,varphi,11.769138930500878,12.02443588249242
D3,Dataset 3,11,alpha,1.0,0.99734566650176
D3,Dataset 3,11,omega,0.6592080464034229,0.6418987208298521
D3,Dataset 3,7,rho,0.4,0.4339905760039702
D3,Dataset 3,7,lambda,3.4419673010885985,3.2864219078096446
D3,Dataset 3,7,pi,0.576741466793192,0.6089989227990221
D3,Dataset 3,7,varphi,11.759562736799287,12.103602519231591
D3,Dataset 3,7,alpha,1.0,0.9450544236594124
D3,Dataset 3,7,omega,0.658962722013607,0.6447517245506426
D3,Dataset 3,2,rho,0.4,0.4099278993104135
D3,Dataset 3,2,lambda,3.4420880601456023,3.431846791535446
D3,Dataset 3,2,pi,0.5762183012001172,0.5852456916506164
D3,Dataset 3,2,varphi,11.75941897601714,11.797703672500067
D3,Dataset 3,2,alpha,1.0,0.9345052058410872
D3,Dataset 3,2,omega,0.6580791687121403,0.6564035278272878
D3,Dataset 3,12,rho,0.4,0.4183545910902738
D3,Dataset 3,12,lambda,3.463942400767992,3.49900580798518
D3,Dataset 3,12,pi,0.5727533111321891,0.591232968021834
D3,Dataset 3,12,varphi,11.733401903847628,11.510646135585814
D3,Dataset 3,12,alpha,1.0,1.0687288132513395
D3,Dataset 3,12,omega,0.6546794606903886,0.6424796971143539
D3,Dataset 3,0,rho,0.4,0.40871936712529144
D3,Dataset 3,0,lambda,3.465922105179065,3.4899975490648414
D3,Dataset 3,0,pi,0.5725073708926108,0.5649698191087512
D3,Dataset 3,0,varphi,11.731045112882066,12.725303676746378
D3,Dataset 3,0,alpha,1.0,0.9277611148873348
D3,Dataset 3,0,omega,0.6542656293576261,0.6612769746987276
D3,Dataset 3,10,rho,0.4,0.37667813864291144
D3,Dataset 3,10,lambda,3.47018966229153,3.468219455912362
D3,Dataset 3,10,pi,0.5710598180132856,0.5566864255053849
D3,Dataset 3,10,varphi,11.725964687748178,12.196370326942864
D3,Dataset 3,10,alpha,1.0,0.9021653718097961
D3,Dataset 3,10,omega,0.6533141964634896,0.6697654523701503
D3,Dataset 3,9,rho,0.4,0.363434516676815
D3,Dataset 3,9,lambda,3.4472270670773932,3.48640521258901
D3,Dataset 3,9,pi,0.5753163157629507,0.5483037656737965
D3,Dataset 3,9,varphi,11.75330111062215,11.8127366600104
D3,Dataset 3,9,alpha,1.0,1.0627715865087692
D3,Dataset 3,9,omega,0.6570676366292866,0.6703817345213907
D3,Dataset 3,25,rho,0.4,0.3902719267609264
D3,Dataset 3,25,lambda,3.4363878345087424,3.5016047700938113
D3,Dataset 3,25,pi,0.5766677179773404,0.5679437849584025
D3,Dataset 3,25,varphi,11.766204958918165,11.807709887730653
D3,Dataset 3,25,alpha,1.0,1.0435900563977032
D3,Dataset 3,25,omega,0.6580488360637011,0.6569532137422112
D3,Dataset 3,15,rho,0.4,0.39613533115871513
D3,Dataset 3,15,lambda,3.4663445780623645,3.488557318012976
D3,Dataset 3,15,pi,0.5726745155763167,0.5907544351503965
D3,Dataset 3,15,varphi,11.730542168973374,10.584805895953957
