Scenario,Dataset,Rep,Model,Index,Value
D1,Dataset 1,7,ZIP--ZINB,0,0.809707090460796
D1,Dataset 1,7,ZIP--ZINB,1,2.118967435794288
D1,Dataset 1,7,ZIP--ZINB,2,0.9563804959685002
D1,Dataset 1,7,ZIP--ZINB,3,-2.1035079801825862
D1,Dataset 1,7,ZIP--ZINB,4,1.052561410184856
D1,Dataset 1,7,ZIP--ZINB,5,4.38724356212419
D1,Dataset 1,7,ZIP--ZINB,6,3.125478899190511
D1,Dataset 1,7,ZIP--ZINB,7,1.002401921844409
D1,Dataset 1,7,ZIP--ZINB,8,-2.622858630027977
D1,Dataset 1,7,ZIP--ZINB,9,0.4551787352888034
D1,Dataset 1,0,ZIP--ZINB,0,0.8465463034128522
D1,Dataset 1,0,ZIP--ZINB,1,2.0546085489012764
D1,Dataset 1,0,ZIP--ZINB,2,0.957411469128596
D1,Dataset 1,0,ZIP--ZINB,3,-1.9648751529557824
D1,Dataset 1,0,ZIP--ZINB,4,0.9891233577389668
D1,Dataset 1,0,ZIP--ZINB,5,3.9200650548843816
D1,Dataset 1,0,ZIP--ZINB,6,3.317131910753702
D1,Dataset 1,0,ZIP--ZINB,7,1.3373596515672446
D1,Dataset 1,0,ZIP--ZINB,8,-3.6420830332169207
D1,Dataset 1,0,ZIP--ZINB,9,0.4319906366733971
D1,Dataset 1,4,ZIP--ZINB,0,0.8589729853147361
D1,Dataset 1,4,ZIP--ZINB,1,2.084229602240106
D1,Dataset 1,4,ZIP--ZINB,2,0.925255832061232
D1,Dataset 1,4,ZIP--ZINB,3,-1.9206597793337
D1,Dataset 1,4,ZIP--ZINB,4,0.9382065848680304
D1,Dataset 1,4,ZIP--ZINB,5,4.260641736572831
D1,Dataset 1,4,ZIP--ZINB,6,3.519350315965878
D1,Dataset 1,4,ZIP--ZINB,7,0.9426926930752982
D1,Dataset 1,4,ZIP--ZINB,8,-2.993331420551295
D1,Dataset 1,4,ZIP--ZINB,9,0.3755348726503281
D1,Dataset 1,3,ZIP--ZINB,0,0.8315063995917824
D1,Dataset 1,3,ZIP--ZINB,1,1.9894017261134656
D1,Dataset 1,3,ZIP--ZINB,2,0.9998477771002644
D1,Dataset 1,3,ZIP--ZINB,3,-2.045165244744886
D1,Dataset 1,3,ZIP--ZINB,4,1.0313669764751054
D1,Dataset 1,3,ZIP--ZINB,5,4.080693715165348
D1,Dataset 1,3,ZIP--ZINB,6,3.506554432308214
D1,Dataset 1,3,ZIP--ZINB,7,0.8126825427649752
D1,Dataset 1,3,ZIP--ZINB,8,-2.365197794011545
D1,Dataset 1,3,ZIP--ZINB,9,0.4102422587204486
D1,Dataset 1,2,ZIP--ZINB,0,0.8313018971750382
D1,Dataset 1,2,ZIP--ZINB,1,1.94470511964086
D1,Dataset 1,2,ZIP--ZINB,2,1.0356588525957873
D1,Dataset 1,2,ZIP--ZINB,3,-1.867573977081948
D1,Dataset 1,2,ZIP--ZINB,4,0.961140026389112
D1,Dataset 1,2,ZIP--ZINB,5,3.420668491246914
D1,Dataset 1,2,ZIP--ZINB,6,3.6509157827078464
D1,Dataset 1,2,ZIP--ZINB,7,0.7615938909451171
D1,Dataset 1,2,ZIP--ZINB,8,-3.358748804825764
D1,Dataset 1,2,ZIP--ZINB,9,0.4687618754024057
D1,Dataset 1,1,ZIP--ZINB,0,0.8104955169433383
D1,Dataset 1,1,ZIP--ZINB,1,1.9379839598781536
D1,Dataset 1,1,ZIP--ZINB,2,1.0386651219074563
D1,Dataset 1,1,ZIP--ZINB,3,-1.967250820466772
D1,Dataset 1,1,ZIP--ZINB,4,0.9840181735421624
D1,Dataset 1,1,ZIP--ZINB,5,4.353178301879752
D1,Dataset 1,1,ZIP--ZINB,6,3.185323441911617
D1,Dataset 1,1,ZIP--ZINB,7,1.5458233343262404
D1,Dataset 1,1,ZIP--ZINB,8,-4.271111140815313
D1,Dataset 1,1,ZIP--ZINB,9,0.4411441125982793
D1,Dataset 1,5,ZIP--ZINB,0,0.8711820476754271
D1,Dataset 1,5,ZIP--ZINB,1,1.987875366940201
D1,Dataset 1,5,ZIP--ZINB,2,1.0165012099734585
D1,Dataset 1,5,ZIP--ZINB,3,-1.976674621273292
