Scenario,Dataset,Rep,Parameter,true,estimate
D1,Dataset 1,7,rho,0.7,0.692047083542483
D1,Dataset 1,7,lambda,3.498698474521875,3.5522934261647534
D1,Dataset 1,7,pi,0.3951034853796046,0.3917043404226896
D1,Dataset 1,7,varphi,9.245444660826566,9.07139402049132
D1,Dataset 1,7,alpha,1.5,1.5764551260167687
D1,Dataset 1,7,omega,0.1457267118032691,0.1668234375901896
D1,Dataset 1,0,rho,0.7,0.6998421493160597
D1,Dataset 1,0,lambda,3.503583579840777,3.494156713034268
D1,Dataset 1,0,pi,0.3963094453405679,0.3998314503699224
D1,Dataset 1,0,varphi,9.26254252944272,8.90765012805951
D1,Dataset 1,0,alpha,1.5,1.5403206925678876
D1,Dataset 1,0,omega,0.1456993019635529,0.1435923118249052
D1,Dataset 1,4,rho,0.7,0.7024460368929409
D1,Dataset 1,4,lambda,3.5037040787787634,3.4755405708244185
D1,Dataset 1,4,pi,0.3962774151288819,0.3916510535251831
D1,Dataset 1,4,varphi,9.262964275725672,9.552703161342052
D1,Dataset 1,4,alpha,1.5,1.4557698578977942
D1,Dataset 1,4,omega,0.1454579402232142,0.1411777851496838
D1,Dataset 1,3,rho,0.7,0.6966733558490388
D1,Dataset 1,3,lambda,3.499559377775314,3.488732836611969
D1,Dataset 1,3,pi,0.3954152629296535,0.3967339076331269
D1,Dataset 1,3,varphi,9.2484578222136,9.338980297812723
D1,Dataset 1,3,alpha,1.5,1.5071828690820264
D1,Dataset 1,3,omega,0.1463438078925157,0.1664076351831016
D1,Dataset 1,2,rho,0.7,0.6966301387439046
D1,Dataset 1,2,lambda,3.502190654248865,3.5004621690003552
D1,Dataset 1,2,pi,0.3958354955064992,0.4100470476704136
D1,Dataset 1,2,varphi,9.257667289871026,8.90504005948032
D1,Dataset 1,2,alpha,1.5,1.598014426902323
D1,Dataset 1,2,omega,0.1447717654763883,0.112418040874819
D1,Dataset 1,1,rho,0.7,0.6922150859059224
D1,Dataset 1,1,lambda,3.50608027480295,3.502297012108776
D1,Dataset 1,1,pi,0.3968176313483802,0.3981251404605708
D1,Dataset 1,1,varphi,9.271280961810325,9.150531106610275
D1,Dataset 1,1,alpha,1.5,1.554484707031085
D1,Dataset 1,1,omega,0.1450436763771757,0.1350811837428727
D1,Dataset 1,5,rho,0.7,0.7049915979906073
D1,Dataset 1,5,lambda,3.505476261602829,3.518193808445796
D1,Dataset 1,5,pi,0.3967210966946509,0.4041408465165615
D1,Dataset 1,5,varphi,9.269166915609905,9.382833507561454
D1,Dataset 1,5,alpha,1.5,1.578921535278485
D1,Dataset 1,5,omega,0.1453035549096224,0.1447497002757493
D1,Dataset 1,6,rho,0.7,0.6782493086826146
D1,Dataset 1,6,lambda,3.504763165104703,3.5469886725437
D1,Dataset 1,6,pi,0.3965447294343562,0.3930926906378981
D1,Dataset 1,6,varphi,9.266671077866462,9.027661567907172
D1,Dataset 1,6,alpha,1.5,1.5930122509050335
D1,Dataset 1,6,omega,0.1455258972682654,0.1463353208755032
D1,Dataset 1,8,rho,0.7,0.6826832388104391
D1,Dataset 1,8,lambda,3.501291226098487,3.5868375011493474
D1,Dataset 1,8,pi,0.3957140650613398,0.3941902636854505
D1,Dataset 1,8,varphi,9.254519291344703,9.14467199819603
D1,Dataset 1,8,alpha,1.5,1.583852407224203
D1,Dataset 1,8,omega,0.1456074960475308,0.1483013394261949
D1,Dataset 1,11,rho,0.7,0.7222374323248438
D1,Dataset 1,11,lambda,3.4923714222679214,3.5265544890475304
D1,Dataset 1,11,pi,0.3938424818896468,0.3991340362914964
D1,Dataset 1,11,varphi,9.223299977937726,9.547932300707227
D1,Dataset 1,11,alpha,1.5,1.41836824382893
D1,Dataset 1,11,omega,0.1476304215345094,0.1364753002694363
D1,Dataset 1,9,rho,0.7,0.7009050640313138
D1,Dataset 1,9,lambda,3.5082493413418923,3.4794981970278096
D1,Dataset 1,9,pi,0.3972124161342996,0.401784715171856
D1,Dataset 1,9,varphi,9.278872694696624,9.416881764061875
D1,Dataset 1,9,alpha,1.5,1.4591212146477617
D1,Dataset 1,9,omega,0.1442569855890647,0.1449147169818182
D1,Dataset 1,14,rho,0.7,0.7206753871868842
D1,Dataset 1,14,lambda,3.501030624233562,3.4619623947580984
D1,Dataset 1,14,pi,0.3955859633861394,0.4116065771966439
D1,Dataset 1,14,varphi,9.253607184817463,9.29080160901837
D1,Dataset 1,14,alpha,1.5,1.4208769287684295
D1,Dataset 1,14,omega,0.1451575989924677,0.1369484320362692
D1,Dataset 1,10,rho,0.7,0.6998193681027562
D1,Dataset 1,10,lambda,3.500240313787505,3.495477469618073
D1,Dataset 1,10,pi,0.3955696894304427,0.3870778730225256
D1,Dataset 1,10,varphi,9.25084109825627,8.761528767311974
D1,Dataset 1,10,alpha,1.5,1.6301070625539231
D1,Dataset 1,10,omega,0.1462325793323316,0.13964187745669
D1,Dataset 1,12,rho,0.7,0.7059680950060023
D1,Dataset 1,12,lambda,3.519153793099901,3.5328610925891093
D1,Dataset 1,12,pi,0.3995219196778763,0.3941772692604655
D1,Dataset 1,12,varphi,9.317038275849654,9.651928814313406
D1,Dataset 1,12,alpha,1.5,1.454882508748501
D1,Dataset 1,12,omega,0.1415094388077381,0.1571875838372494
D1,Dataset 1,13,rho,0.7,0.6908436235059582
D1,Dataset 1,13,lambda,3.498871030978732,3.522905114191736
D1,Dataset 1,13,pi,0.3951642794777865,0.3917622999624287
D1,Dataset 1,13,varphi,9.246048608425562,9.209201025307356
D1,Dataset 1,13,alpha,1.5,1.6283227231812794
D1,Dataset 1,13,omega,0.1459916978502066,0.1552110707911941
D1,Dataset 1,15,rho,0.7,0.6992529058859209
D1,Dataset 1,15,lambda,3.494329327573328,3.507100814790575
D1,Dataset 1,15,pi,0.3942287214617494,0.3853260829224348
D1,Dataset 1,15,varphi,9.230152646506646,9.347340868278806
D1,Dataset 1,15,alpha,1.5,1.4704767756991497
D1,Dataset 1,15,omega,0.1470708857982519,0.182428873138207
D1,Dataset 1,19,rho,0.7,0.7162018005538824
D1,Dataset 1,19,lambda,3.488635061401753,3.4929359663314594
D1,Dataset 1,19,pi,0.3930910361158833,0.4077966918146351
D1,Dataset 1,19,varphi,9.210222714906134,9.56958854843661
D1,Dataset 1,19,alpha,1.5,1.4204643028977326
D1,Dataset 1,19,omega,0.1486704167251628,0.1409925951687828
D1,Dataset 1,17,rho,0.7,0.7152592166112587
D1,Dataset 1,17,lambda,3.489060656553614,3.4931098982902484
D1,Dataset 1,17,pi,0.3931569554724813,0.392329755140639
D1,Dataset 1,17,varphi,9.21171229793765,9.454101481541414
D1,Dataset 1,17,alpha,1.5,1.465561259094892
D1,Dataset 1,17,omega,0.1486033055819754,0.153443314871941
D1,Dataset 1,18,rho,0.7,0.6938370335897387
D1,Dataset 1,18,lambda,3.504056823297213,3.545390642499512
D1,Dataset 1,18,pi,0.3965103393327971,0.3855533167070948
D1,Dataset 1,18,varphi,9.264198881540247,9.228594782784606
D1,Dataset 1,18,alpha,1.5,1.5463977947636611
D1,Dataset 1,18,omega,0.1465771778787733,0.1695068023536989
D1,Dataset 1,16,rho,0.7,0.6801535292529723
D1,Dataset 1,16,lambda,3.4998592543640306,3.562160874909288
D1,Dataset 1,16,pi,0.3955046226720932,0.3806484919723323
D1,Dataset 1,16,varphi,9.249507390274108,8.582269755080235
D1,Dataset 1,16,alpha,1.5,1.6957855032591187
D1,Dataset 1,16,omega,0.1464844537961277,0.1235785386089519
D1,Dataset 1,20,rho,0.7,0.7019842840114835
D1,Dataset 1,20,lambda,3.490743397511872,3.4619180129646905
D1,Dataset 1,20,pi,0.3934863900239237,0.3863791617030956
D1,Dataset 1,20,varphi,9.217601891291553,9.495656527101191
D1,Dataset 1,20,alpha,1.5,1.4166253414153414
D1,Dataset 1,20,omega,0.1481086812543091,0.181898810489174
D1,Dataset 1,21,rho,0.7,0.7010593103135101
D1,Dataset 1,21,lambda,3.491862748092123,3.5405542006504964
D1,Dataset 1,21,pi,0.3940028108595893,0.3881700344815756
D1,Dataset 1,21,varphi,9.22151961832243,9.144650594047135
D1,Dataset 1,21,alpha,1.5,1.3968984932997706
D1,Dataset 1,21,omega,0.1495854107059195,0.1693813332911402
D1,Dataset 1,22,rho,0.7,0.6929389268768267
D1,Dataset 1,22,lambda,3.5012400308812373,3.517264377298826
D1,Dataset 1,22,pi,0.3956625510201644,0.4012579490300764
D1,Dataset 1,22,varphi,9.25434010808433,8.645495841189035
D1,Dataset 1,22,alpha,1.5,1.6263286999359166
D1,Dataset 1,22,omega,0.1452420522362984,0.1138238938620874
