n,Coefficient,CoefficientLatex,true,rmse,n_success
1000,beta_z[0],$\beta_{10}$,2.0,0.19605528808320635,100
1000,beta_z[1],$\beta_{11}$,1.0,0.17263734307385206,100
1000,gamma_z[0],$\gamma_{10}$,-2.0,2.7391709841679948,100
1000,gamma_z[1],$\gamma_{11}$,1.0,0.9786077209116417,100
1000,beta_nb[0],$\beta_{20}$,4.0,2.539322361121687,100
1000,beta_nb[1],$\beta_{21}$,3.5,1.3958380340881098,100
1000,gamma_nb[0],$\gamma_{20}$,1.0,5.056008356662746,100
1000,gamma_nb[1],$\gamma_{21}$,-3.0,3.616480259799575,100
5000,beta_z[0],$\beta_{10}$,2.0,0.08189995331859,100
5000,beta_z[1],$\beta_{11}$,1.0,0.07702287323618483,100
5000,gamma_z[0],$\gamma_{10}$,-2.0,0.41301111843858884,100
5000,gamma_z[1],$\gamma_{11}$,1.0,0.16011614786954015,100
5000,beta_nb[0],$\beta_{20}$,4.0,1.181113717678326,100
5000,beta_nb[1],$\beta_{21}$,3.5,0.6522768896491846,100
5000,gamma_nb[0],$\gamma_{20}$,1.0,0.48794931405534336,100
5000,gamma_nb[1],$\gamma_{21}$,-3.0,1.3375634910273813,100
10000,beta_z[0],$\beta_{10}$,2.0,0.06302008254119193,100
10000,beta_z[1],$\beta_{11}$,1.0,0.05203229605661675,100
10000,gamma_z[0],$\gamma_{10}$,-2.0,0.19335450195910606,100
10000,gamma_z[1],$\gamma_{11}$,1.0,0.08539835912501596,100
10000,beta_nb[0],$\beta_{20}$,4.0,0.7466778580075732,100
10000,beta_nb[1],$\beta_{21}$,3.5,0.37993947182000815,100
10000,gamma_nb[0],$\gamma_{20}$,1.0,0.31152500329147126,100
10000,gamma_nb[1],$\gamma_{21}$,-3.0,0.5662149091322216,100
15000,beta_z[0],$\beta_{10}$,2.0,0.04613553500286076,100
15000,beta_z[1],$\beta_{11}$,1.0,0.03759453189178522,100
15000,gamma_z[0],$\gamma_{10}$,-2.0,0.24894837705655207,100
15000,gamma_z[1],$\gamma_{11}$,1.0,0.0946960147970073,100
15000,beta_nb[0],$\beta_{20}$,4.0,0.5801759677141841,100
15000,beta_nb[1],$\beta_{21}$,3.5,0.34237879157785517,100
15000,gamma_nb[0],$\gamma_{20}$,1.0,0.28882637805733125,100
15000,gamma_nb[1],$\gamma_{21}$,-3.0,0.6415589539539296,100
25000,beta_z[0],$\beta_{10}$,2.0,0.03683352674406214,100
25000,beta_z[1],$\beta_{11}$,1.0,0.034625133069998995,100
25000,gamma_z[0],$\gamma_{10}$,-2.0,0.09698876979400578,100
25000,gamma_z[1],$\gamma_{11}$,1.0,0.04582547351745994,100
25000,beta_nb[0],$\beta_{20}$,4.0,0.4500920032871885,100
25000,beta_nb[1],$\beta_{21}$,3.5,0.2704689880990457,100
25000,gamma_nb[0],$\gamma_{20}$,1.0,0.21909853574796884,100
25000,gamma_nb[1],$\gamma_{21}$,-3.0,0.42333909056219643,100
