Scenario,Dataset,Rep,Coefficient,CoefficientLatex,true,estimate
D1,Dataset 1,7,beta_z[0],$\beta_{10}$,2.0,2.118967435794288
D1,Dataset 1,7,beta_z[1],$\beta_{11}$,1.0,0.9563804959685002
D1,Dataset 1,7,gamma_z[0],$\gamma_{10}$,-2.0,-2.1035079801825862
D1,Dataset 1,7,gamma_z[1],$\gamma_{11}$,1.0,1.052561410184856
D1,Dataset 1,7,beta_nb[0],$\beta_{20}$,4.0,4.38724356212419
D1,Dataset 1,7,beta_nb[1],$\beta_{21}$,3.5,3.125478899190511
D1,Dataset 1,7,gamma_nb[0],$\gamma_{20}$,1.0,1.002401921844409
D1,Dataset 1,7,gamma_nb[1],$\gamma_{21}$,-3.0,-2.622858630027977
D1,Dataset 1,0,beta_z[0],$\beta_{10}$,2.0,2.0546085489012764
D1,Dataset 1,0,beta_z[1],$\beta_{11}$,1.0,0.957411469128596
D1,Dataset 1,0,gamma_z[0],$\gamma_{10}$,-2.0,-1.9648751529557824
D1,Dataset 1,0,gamma_z[1],$\gamma_{11}$,1.0,0.9891233577389668
D1,Dataset 1,0,beta_nb[0],$\beta_{20}$,4.0,3.9200650548843816
D1,Dataset 1,0,beta_nb[1],$\beta_{21}$,3.5,3.317131910753702
D1,Dataset 1,0,gamma_nb[0],$\gamma_{20}$,1.0,1.3373596515672446
D1,Dataset 1,0,gamma_nb[1],$\gamma_{21}$,-3.0,-3.6420830332169207
D1,Dataset 1,4,beta_z[0],$\beta_{10}$,2.0,2.084229602240106
D1,Dataset 1,4,beta_z[1],$\beta_{11}$,1.0,0.925255832061232
D1,Dataset 1,4,gamma_z[0],$\gamma_{10}$,-2.0,-1.9206597793337
D1,Dataset 1,4,gamma_z[1],$\gamma_{11}$,1.0,0.9382065848680304
D1,Dataset 1,4,beta_nb[0],$\beta_{20}$,4.0,4.260641736572831
D1,Dataset 1,4,beta_nb[1],$\beta_{21}$,3.5,3.519350315965878
D1,Dataset 1,4,gamma_nb[0],$\gamma_{20}$,1.0,0.9426926930752982
D1,Dataset 1,4,gamma_nb[1],$\gamma_{21}$,-3.0,-2.993331420551295
D1,Dataset 1,3,beta_z[0],$\beta_{10}$,2.0,1.9894017261134656
D1,Dataset 1,3,beta_z[1],$\beta_{11}$,1.0,0.9998477771002644
D1,Dataset 1,3,gamma_z[0],$\gamma_{10}$,-2.0,-2.045165244744886
D1,Dataset 1,3,gamma_z[1],$\gamma_{11}$,1.0,1.0313669764751054
D1,Dataset 1,3,beta_nb[0],$\beta_{20}$,4.0,4.080693715165348
D1,Dataset 1,3,beta_nb[1],$\beta_{21}$,3.5,3.506554432308214
D1,Dataset 1,3,gamma_nb[0],$\gamma_{20}$,1.0,0.8126825427649752
D1,Dataset 1,3,gamma_nb[1],$\gamma_{21}$,-3.0,-2.365197794011545
D1,Dataset 1,2,beta_z[0],$\beta_{10}$,2.0,1.94470511964086
D1,Dataset 1,2,beta_z[1],$\beta_{11}$,1.0,1.0356588525957873
D1,Dataset 1,2,gamma_z[0],$\gamma_{10}$,-2.0,-1.867573977081948
D1,Dataset 1,2,gamma_z[1],$\gamma_{11}$,1.0,0.961140026389112
D1,Dataset 1,2,beta_nb[0],$\beta_{20}$,4.0,3.420668491246914
