Scenario,Dataset,Rep,Model,fit_elapsed_sec,success,nit,grad_norm_inf
D3,Dataset 3,6,Poisson,1.3355522155761719,True,13,8452.416285356196
D3,Dataset 3,6,NB,5.608128070831299,True,14,0.0003205923473154288
D3,Dataset 3,6,ZIP,7.273808479309082,True,16,2.616772377749682e-05
D3,Dataset 3,6,ZINB,12.398576498031616,True,18,0.00012748836515735426
D3,Dataset 3,6,P+NB,27.19322443008423,True,46,1543.672425367201
D3,Dataset 3,6,Z+P+NB,32.36993336677551,True,24,0.00014210096797624
D3,Dataset 3,6,ZIP--ZINB,69.38912439346313,True,47,0.0004609782299034443
D3,Dataset 3,5,Poisson,1.3888764381408691,True,14,12809.630731752966
D3,Dataset 3,5,NB,8.158649682998657,True,18,2476.9366936503898
D3,Dataset 3,5,ZIP,7.096388339996338,True,15,0.00022462891265859208
D3,Dataset 3,5,ZINB,13.95812177658081,True,15,1.880908013132676e-05
D3,Dataset 3,5,P+NB,25.56902289390564,True,63,1550.8103954833603
D3,Dataset 3,5,Z+P+NB,37.880303144454956,True,21,0.0003584496620379074
D3,Dataset 3,5,ZIP--ZINB,64.72374868392944,True,18,0.0001603707810703056
D3,Dataset 3,13,Poisson,1.8585913181304932,True,20,13530.035588366236
D3,Dataset 3,13,NB,6.068413019180298,True,21,3197.034366258665
D3,Dataset 3,13,ZIP,8.12841510772705,True,15,6.23747882411152e-05
D3,Dataset 3,13,ZINB,11.407353639602661,True,18,2.9316578109103708e-05
D3,Dataset 3,13,P+NB,26.981738090515137,True,34,1429.374828158947
D3,Dataset 3,13,Z+P+NB,38.58559203147888,True,13,0.00013211882201069614
D3,Dataset 3,13,ZIP--ZINB,67.3250572681427,True,37,0.0006943294233777188
D3,Dataset 3,3,Poisson,1.6517324447631836,True,10,9953.457879023383
D3,Dataset 3,3,NB,5.037517547607422,True,13,65.25166198572082
D3,Dataset 3,3,ZIP,10.887061834335327,True,15,2.855943580112874e-06
D3,Dataset 3,3,ZINB,9.598652601242065,True,19,0.0001037970944801625
D3,Dataset 3,3,P+NB,25.132713556289673,True,36,1548.178542284725
D3,Dataset 3,3,Z+P+NB,39.565709352493286,True,14,0.0003438149237821875
D3,Dataset 3,3,ZIP--ZINB,69.19804978370667,True,45,0.00045422591949632993
D3,Dataset 3,1,Poisson,1.5389742851257324,True,17,11400.393603441697
D3,Dataset 3,1,NB,7.6516807079315186,True,15,1377.4696687318412
D3,Dataset 3,1,ZIP,6.014464616775513,True,10,0.00015894976503812164
D3,Dataset 3,1,ZINB,13.6686270236969,True,14,9.707513014396794e-05
D3,Dataset 3,1,P+NB,35.61331272125244,True,37,1590.4658814163865
D3,Dataset 3,1,Z+P+NB,36.24928307533264,True,30,0.00023683286154388417
D3,Dataset 3,1,ZIP--ZINB,62.63105773925781,True,15,7.679469836788656e-05
D3,Dataset 3,8,Poisson,1.9462168216705322,True,14,13045.391074455942
D3,Dataset 3,8,NB,5.938607215881348,True,14,3031.564991968158
D3,Dataset 3,8,ZIP,6.2807090282440186,True,14,8.258610736699978e-05
D3,Dataset 3,8,ZINB,10.610635757446289,True,14,0.00010369155876494007
D3,Dataset 3,8,P+NB,25.121240615844727,True,32,1522.8941256318737
D3,Dataset 3,8,Z+P+NB,39.295154333114624,True,28,0.00017489113198077
D3,Dataset 3,8,ZIP--ZINB,74.9894015789032,True,16,0.00021414228300292715
D3,Dataset 3,14,Poisson,1.3611066341400146,True,15,14518.961407129504
D3,Dataset 3,14,NB,7.642626523971558,True,13,4188.613570551926
D3,Dataset 3,14,ZIP,7.809218406677246,True,12,0.00010955923365407738
D3,Dataset 3,14,ZINB,12.258442640304565,True,17,2.699254722113298e-05
D3,Dataset 3,14,P+NB,22.55315089225769,True,31,2378.364202107923
D3,Dataset 3,14,Z+P+NB,43.70310091972351,True,13,9.240734088322711e-05
D3,Dataset 3,14,ZIP--ZINB,71.83796691894531,True,16,0.00018157770757244035
D3,Dataset 3,4,Poisson,1.65016508102417,True,17,9119.625296656208
D3,Dataset 3,4,NB,5.742264747619629,True,19,0.0029186016004368043
D3,Dataset 3,4,ZIP,6.2545552253723145,True,15,2.643129835938618e-05
D3,Dataset 3,4,ZINB,15.760577201843262,True,19,1.6017854974181844e-05
D3,Dataset 3,4,P+NB,23.81858205795288,True,24,1264.0789911473603
D3,Dataset 3,4,Z+P+NB,36.680763721466064,True,23,0.00013410775550932487
D3,Dataset 3,4,ZIP--ZINB,78.23850440979004,True,17,0.0001755385649493714
D3,Dataset 3,11,Poisson,1.4606902599334717,True,19,12729.88440268948
D3,Dataset 3,11,NB,6.806297779083252,True,23,3253.7772913866283
D3,Dataset 3,11,ZIP,7.25143027305603,True,15,0.00043492182463000795
D3,Dataset 3,11,ZINB,15.263377904891968,True,19,0.00027402777906877784
D3,Dataset 3,11,P+NB,31.714078426361084,True,24,1727.1989129935007
D3,Dataset 3,11,Z+P+NB,33.722498655319214,True,23,0.00011858394371896952
D3,Dataset 3,11,ZIP--ZINB,72.00165939331055,True,42,0.0003418569386998277
D3,Dataset 3,7,Poisson,1.3594677448272705,True,12,11900.58264132957
D3,Dataset 3,7,NB,7.288989543914795,True,24,1537.197277326919
D3,Dataset 3,7,ZIP,8.212578296661377,True,12,3.6701653390092126e-05
D3,Dataset 3,7,ZINB,14.54160189628601,True,19,0.0001601601883483017
D3,Dataset 3,7,P+NB,27.300423860549927,True,33,1532.0736475662209
D3,Dataset 3,7,Z+P+NB,36.40229654312134,True,30,0.00020101863120802754
D3,Dataset 3,7,ZIP--ZINB,74.78535723686218,True,33,0.00028135381509622004
D3,Dataset 3,2,Poisson,2.0669355392456055,True,20,13951.069391052044
D3,Dataset 3,2,NB,5.942763566970825,True,21,3597.431361466599
D3,Dataset 3,2,ZIP,6.179919481277466,True,14,0.0005978336968905373
D3,Dataset 3,2,ZINB,17.144278526306152,True,17,0.00023690438338153097
D3,Dataset 3,2,P+NB,24.19428849220276,True,33,1869.0339968188887
D3,Dataset 3,2,Z+P+NB,35.04063940048218,True,14,0.0002733967945225402
D3,Dataset 3,2,ZIP--ZINB,81.70579671859741,True,31,0.00014056672640555545
D3,Dataset 3,12,Poisson,1.2592196464538574,True,12,13872.767103337972
D3,Dataset 3,12,NB,5.676038026809692,True,23,3379.118110080858
D3,Dataset 3,12,ZIP,5.3508124351501465,True,16,0.00013814978244486298
D3,Dataset 3,12,ZINB,11.073766946792603,True,19,9.90465807411689e-05
D3,Dataset 3,12,P+NB,23.320610761642456,True,33,1612.6415285688668
D3,Dataset 3,12,Z+P+NB,41.73233771324158,True,21,6.6092669221543e-05
D3,Dataset 3,12,ZIP--ZINB,84.0659077167511,True,16,0.00011313809515714479
D3,Dataset 3,0,Poisson,1.6724603176116943,True,15,12899.760353912747
D3,Dataset 3,0,NB,6.04818320274353,True,17,2938.078505670343
D3,Dataset 3,0,ZIP,6.962898254394531,True,15,0.000200988383279338
D3,Dataset 3,0,ZINB,13.853074073791504,True,15,0.0003059077637332236
D3,Dataset 3,0,P+NB,29.173152923583984,True,28,1479.2955852428156
D3,Dataset 3,0,Z+P+NB,43.60149908065796,True,27,0.0002798320430462409
D3,Dataset 3,0,ZIP--ZINB,75.60269165039062,True,49,0.00022912533283679648
D3,Dataset 3,10,Poisson,1.8623747825622559,True,12,8174.728429302152
D3,Dataset 3,10,NB,6.326696157455444,True,23,0.0010835705161396161
D3,Dataset 3,10,ZIP,8.024217128753662,True,13,0.00014732688828122953
D3,Dataset 3,10,ZINB,10.713441610336304,True,14,0.0001920452447865817
D3,Dataset 3,10,P+NB,31.3992862701416,True,38,1414.9772237217483
D3,Dataset 3,10,Z+P+NB,38.325095415115356,True,27,0.00016123086041663903
D3,Dataset 3,10,ZIP--ZINB,82.92236256599426,True,35,0.0003854218558118072
D3,Dataset 3,9,Poisson,1.1877071857452393,True,13,13753.484811485045
D3,Dataset 3,9,NB,7.193578243255615,True,10,3391.1730588028017
D3,Dataset 3,9,ZIP,8.916395664215088,True,13,2.3651184364426037e-05
D3,Dataset 3,9,ZINB,14.023253679275513,True,14,0.00031856467437507696
D3,Dataset 3,9,P+NB,33.11594891548157,True,44,1785.746771173152
D3,Dataset 3,9,Z+P+NB,38.865647077560425,True,31,7.7867754767591e-05
D3,Dataset 3,9,ZIP--ZINB,78.04432487487793,True,17,0.0002073460097365698
D3,Dataset 3,25,Poisson,1.13527250289917,True,11,0.0008286559828103446
D3,Dataset 3,25,NB,5.275630712509155,True,24,0.001977121129155046
D3,Dataset 3,25,ZIP,7.273003339767456,True,14,5.8459479505140743e-05
D3,Dataset 3,25,ZINB,10.610657453536987,True,22,0.00016438480219522697
D3,Dataset 3,25,P+NB,24.57931423187256,True,49,1565.8192845429028
D3,Dataset 3,25,Z+P+NB,37.77166175842285,True,22,0.00021905754935588884
D3,Dataset 3,25,ZIP--ZINB,58.215532541275024,True,48,0.0003513933139517589
D3,Dataset 3,15,Poisson,1.5444302558898926,True,11,13239.087802280255
D3,Dataset 3,15,NB,6.126936197280884,True,16,2221.3500576062106
D3,Dataset 3,15,ZIP,7.888420343399048,True,11,0.00016703278996216264
D3,Dataset 3,15,ZINB,15.926344394683838,True,19,0.0001327743308199847
D3,Dataset 3,15,P+NB,24.541863203048706,True,47,1398.148141330004
D3,Dataset 3,15,Z+P+NB,37.096086740493774,True,19,0.00023220083919128776
D3,Dataset 3,15,ZIP--ZINB,71.11566519737244,True,18,0.00022742593921115661
D3,Dataset 3,16,Poisson,1.2167985439300537,True,16,15173.820703400552
D3,Dataset 3,16,NB,5.775088548660278,True,29,4468.604350744318
D3,Dataset 3,16,ZIP,7.438753604888916,True,15,9.603938609430466e-05
D3,Dataset 3,16,ZINB,12.736295700073242,True,19,3.290412817341659e-05
D3,Dataset 3,16,P+NB,26.17255687713623,True,31,2590.9942177351636
D3,Dataset 3,16,Z+P+NB,37.55065178871155,True,24,0.00018199080494024633
D3,Dataset 3,16,ZIP--ZINB,76.52081155776978,True,43,9.889290299475335e-05
D3,Dataset 3,17,Poisson,1.5856244564056396,True,12,11239.337492457224
D3,Dataset 3,17,NB,5.814097166061401,True,17,1673.5188641295044
D3,Dataset 3,17,ZIP,9.399373769760132,True,16,0.00012371051766052465
D3,Dataset 3,17,ZINB,12.784191846847534,True,15,4.515503547400379e-05
D3,Dataset 3,17,P+NB,25.146833896636963,True,46,1458.5950824969793
D3,Dataset 3,17,Z+P+NB,34.16123414039612,True,13,7.063535029297463e-05
D3,Dataset 3,17,ZIP--ZINB,77.6884515285492,True,16,0.0004753958691527463
D3,Dataset 3,18,Poisson,1.460282564163208,True,17,14515.561227196347
D3,Dataset 3,18,NB,7.204528331756592,True,16,3942.604455645535
D3,Dataset 3,18,ZIP,8.505979299545288,True,14,0.0003830757295097964
D3,Dataset 3,18,ZINB,11.922354221343994,True,17,0.000295519597445823
D3,Dataset 3,18,P+NB,25.331156492233276,True,30,2251.955526127618
D3,Dataset 3,18,Z+P+NB,34.90150427818298,True,16,3.089756642182806e-05
D3,Dataset 3,18,ZIP--ZINB,79.02695918083191,True,20,0.0004652479314495514
D3,Dataset 3,29,Poisson,1.44966459274292,True,14,12341.672702079963
D3,Dataset 3,29,NB,5.803784370422363,True,21,2780.9397934460144
D3,Dataset 3,29,ZIP,5.3499836921691895,True,9,4.1415271244293894e-05
D3,Dataset 3,29,ZINB,13.001032829284668,True,18,0.00032055073437087245
D3,Dataset 3,29,P+NB,27.49754500389099,True,32,1560.9603132898608
D3,Dataset 3,29,Z+P+NB,32.830543518066406,True,15,6.559880336709512e-05
D3,Dataset 3,29,ZIP--ZINB,62.31191372871399,True,15,0.00024394510418182525
D3,Dataset 3,22,Poisson,1.3320281505584717,True,18,13244.434771500975
D3,Dataset 3,22,NB,6.21450400352478,True,20,3045.741204271798
D3,Dataset 3,22,ZIP,6.698761224746704,True,13,0.0001361669800483689
D3,Dataset 3,22,ZINB,14.054865837097168,True,19,8.60676998055282e-06
D3,Dataset 3,22,P+NB,25.32061195373535,True,34,1437.4280028395387
D3,Dataset 3,22,Z+P+NB,42.68202495574951,True,24,3.219080011190867e-05
D3,Dataset 3,22,ZIP--ZINB,65.9127824306488,True,17,6.647650670868477e-05
D3,Dataset 3,21,Poisson,1.313286542892456,True,13,13317.952182327585
D3,Dataset 3,21,NB,7.824189186096191,True,18,3118.726624100237
D3,Dataset 3,21,ZIP,7.438756704330444,True,10,0.00022255923996122862
D3,Dataset 3,21,ZINB,14.000695705413818,True,18,0.00013404678861056452
D3,Dataset 3,21,P+NB,25.619107246398926,True,37,1543.1354277207924
D3,Dataset 3,21,Z+P+NB,36.48637795448303,True,25,0.0004933764588099122
D3,Dataset 3,21,ZIP--ZINB,70.68309283256531,True,43,0.0002157896809689558
D3,Dataset 3,20,Poisson,1.2380955219268799,True,14,0.022109120901730894
D3,Dataset 3,20,NB,6.713265657424927,True,22,0.028236977410233267
D3,Dataset 3,20,ZIP,7.852882146835327,True,15,0.0005395510369058387
D3,Dataset 3,20,ZINB,12.325623035430908,True,18,7.710253910814258e-05
D3,Dataset 3,20,P+NB,26.873675107955933,True,35,868.7669135040975
D3,Dataset 3,20,Z+P+NB,40.042850494384766,True,12,4.4835343777194225e-05
D3,Dataset 3,20,ZIP--ZINB,76.55632901191711,True,19,6.08413109113937e-05
D3,Dataset 3,19,Poisson,1.6437318325042725,True,17,9990.67540986663
D3,Dataset 3,19,NB,5.555675268173218,True,18,246.15053330882694
D3,Dataset 3,19,ZIP,7.414866924285889,True,10,8.839143419248074e-05
D3,Dataset 3,19,ZINB,12.47096300125122,True,24,8.708639200749602e-05
D3,Dataset 3,19,P+NB,27.8217511177063,True,61,1472.1723845469153
D3,Dataset 3,19,Z+P+NB,39.87796640396118,True,27,0.00020407089675781695
D3,Dataset 3,19,ZIP--ZINB,77.70915389060974,True,32,0.0002096369309754209
D3,Dataset 3,26,Poisson,1.7113912105560303,True,19,13380.566958811329
D3,Dataset 3,26,NB,5.471505403518677,True,25,3238.8106744401007
D3,Dataset 3,26,ZIP,6.8886330127716064,True,15,9.179711718332317e-05
D3,Dataset 3,26,ZINB,13.962736368179321,True,14,0.00014683705452739337
D3,Dataset 3,26,P+NB,27.32134985923767,True,36,1508.7281996072618
D3,Dataset 3,26,Z+P+NB,38.87391424179077,True,25,0.00029400683119568116
D3,Dataset 3,26,ZIP--ZINB,70.72182106971741,True,35,0.0001675287977019116
D3,Dataset 3,24,Poisson,1.3392503261566162,True,12,13390.507499054755
D3,Dataset 3,24,NB,6.70243763923645,True,14,2505.3623404079085
D3,Dataset 3,24,ZIP,6.200587272644043,True,14,0.00016076971331835388
D3,Dataset 3,24,ZINB,13.089646339416504,True,21,0.00013154654014062208
D3,Dataset 3,24,P+NB,28.451453685760498,True,53,1450.7354225679378
D3,Dataset 3,24,Z+P+NB,38.27978706359863,True,27,0.00023162830222912129
D3,Dataset 3,24,ZIP--ZINB,75.95655179023743,True,47,0.0001589471624589764
D3,Dataset 3,28,Poisson,1.4494006633758545,True,14,13006.368700417788
D3,Dataset 3,28,NB,7.1055707931518555,True,20,2249.6223550794016
D3,Dataset 3,28,ZIP,8.26707148551941,True,11,3.0536343241349684e-05
D3,Dataset 3,28,ZINB,12.553771257400513,True,21,9.527160781819081e-05
D3,Dataset 3,28,P+NB,36.316290616989136,True,381,1457.6029045658877
D3,Dataset 3,28,Z+P+NB,38.95222568511963,True,29,0.00041325641149700387
D3,Dataset 3,28,ZIP--ZINB,67.44727373123169,True,37,0.00016144406509197018
D3,Dataset 3,23,Poisson,1.5997540950775146,True,14,13213.131431041747
D3,Dataset 3,23,NB,6.757183313369751,True,23,2469.172187718937
D3,Dataset 3,23,ZIP,6.813056230545044,True,12,0.00012748403843504397
D3,Dataset 3,23,ZINB,13.942179918289185,True,20,4.0716151834117864e-05
D3,Dataset 3,23,P+NB,30.211469888687134,True,32,1355.270199336994
D3,Dataset 3,23,Z+P+NB,44.19318675994873,True,14,0.00016429043782739683
D3,Dataset 3,23,ZIP--ZINB,80.55659055709839,True,18,0.0002672329339795561
