Scenario,Dataset,Coefficient,CoefficientLatex,true,mean_estimate,empirical_sd,rmse,n_success
D1,Dataset 1,beta_z[0],$\beta_{10}$,2.0,2.0119150219570123,0.046924960148595714,0.048186098766489736,100
D1,Dataset 1,beta_z[1],$\beta_{11}$,1.0,0.9922868386051885,0.038986192794158825,0.03955018147872269,100
D1,Dataset 1,gamma_z[0],$\gamma_{10}$,-2.0,-1.9964292299392001,0.11368409197688858,0.11317058999470965,100
D1,Dataset 1,gamma_z[1],$\gamma_{11}$,1.0,0.9986068914991384,0.05269513488274686,0.05244950161062495,100
D1,Dataset 1,beta_nb[0],$\beta_{20}$,4.0,3.98643666866347,0.4324656653145168,0.4305116143800454,100
D1,Dataset 1,beta_nb[1],$\beta_{21}$,3.5,3.518163463054754,0.23790092984935185,0.23740428658534324,100
D1,Dataset 1,gamma_nb[0],$\gamma_{20}$,1.0,1.0247330181341814,0.21886987997495647,0.21917277728466888,100
D1,Dataset 1,gamma_nb[1],$\gamma_{21}$,-3.0,-3.0562664200062413,0.44525840225888585,0.446585271090117,100
D2,Dataset 2,beta_z[0],$\beta_{10}$,5.0,4.946422639583031,0.22931063461771714,0.23436737619929549,100
D2,Dataset 2,beta_z[1],$\beta_{11}$,-0.5,-0.43638017886462604,0.6875528661476308,0.6870583206334383,100
D2,Dataset 2,gamma_z[0],$\gamma_{10}$,0.09999999999999998,0.06387227686419648,0.12937664602920448,0.13370170436971132,100
D2,Dataset 2,gamma_z[1],$\gamma_{11}$,3.100000000000002,3.0643545336479185,0.36799099728927653,0.36787742471719315,100
D2,Dataset 2,beta_nb[0],$\beta_{20}$,10.0,10.166474770616425,0.5165080997640371,0.5402098297906368,100
D2,Dataset 2,beta_nb[1],$\beta_{21}$,2.5,2.369703843339526,0.5366007730028571,0.5495799069579255,100
D2,Dataset 2,gamma_nb[0],$\gamma_{20}$,-1.699999999999999,-1.6608817509927525,0.32423594057265415,0.3249736806463508,100
D2,Dataset 2,gamma_nb[1],$\gamma_{21}$,2.0,1.98975562130208,0.10934380187839383,0.1092769583857257,100
D3,Dataset 3,beta_z[0],$\beta_{10}$,6.6,6.58630440681042,0.12873612979005608,0.12882092405740384,100
D3,Dataset 3,beta_z[1],$\beta_{11}$,-2.1,-2.092945245811028,0.07999611338439067,0.07990715820068327,100
D3,Dataset 3,gamma_z[0],$\gamma_{10}$,-2.5,-2.5188316620863076,0.38515677184579844,0.3836885625173398,100
D3,Dataset 3,gamma_z[1],$\gamma_{11}$,2.0,2.023069070506608,0.15044884913681714,0.15146184225264686,100
D3,Dataset 3,beta_nb[0],$\beta_{20}$,8.0,8.062862565351109,0.3012034076169761,0.3062155449270981,100
D3,Dataset 3,beta_nb[1],$\beta_{21}$,2.5,2.487868628251826,0.4681301950915227,0.46594161752450836,100
D3,Dataset 3,gamma_nb[0],$\gamma_{20}$,-2.5,-2.522956459698037,0.2202686742380392,0.2203635745851505,100
D3,Dataset 3,gamma_nb[1],$\gamma_{21}$,2.5,2.5036740106479396,0.0842415439131826,0.08389975982033011,100
D4,Dataset 4,beta_z[0],$\beta_{10}$,5.0,5.003113347246358,0.1574512830494554,0.15669298133502,100
D4,Dataset 4,beta_z[1],$\beta_{11}$,1.5,1.4965198828901263,0.0952702596782241,0.09485657262658778,100
D4,Dataset 4,gamma_z[0],$\gamma_{10}$,-2.0,-2.2207452988649066,0.7307456050744636,0.7598537588992006,100
D4,Dataset 4,gamma_z[1],$\gamma_{11}$,1.0,1.0612829069127128,0.22937820236855466,0.23631295098721006,100
D4,Dataset 4,beta_nb[0],$\beta_{20}$,6.0,5.974969260182508,0.15124915815776976,0.15255845666763512,100
D4,Dataset 4,beta_nb[1],$\beta_{21}$,-1.0,-0.9822857067182178,0.1023259340106563,0.1033425710436636,100
D4,Dataset 4,gamma_nb[0],$\gamma_{20}$,-3.7,-3.652689438095517,0.3064299777452661,0.30854274779367713,100
D4,Dataset 4,gamma_nb[1],$\gamma_{21}$,2.0,1.9881895813333736,0.11543202794739402,0.11545905566203316,100
