Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,message,Rep
D1_nb2_identity,Poisson,identity,-5081.609406640284,10167.218813280568,10177.39896695212,1200,2,True,6,8.297705231230523e-05,Optimization terminated successfully,0
D1_nb2_identity,NB,identity,-2636.3135007448413,5278.627001489683,5293.897231997011,1200,3,True,8,6.228751154911671e-05,Optimization terminated successfully,0
D1_nb2_identity,ZIP,identity,-4160.441559833165,8328.88311966633,8349.243427009435,1200,4,True,10,6.709710807784042e-05,Optimization terminated successfully,0
D1_nb2_identity,ZINB,identity,-2636.3135007549618,5282.6270015099235,5308.077385688804,1200,5,True,37,6.159249688053592e-07,Optimization terminated successfully,0
D1_nb2_identity,P+NB,identity,-2531.9154263498826,5075.830852699765,5106.371313714421,1200,6,True,13,8.85534156886969e-05,Optimization terminated successfully,0
D1_nb2_identity,Z+P+NB,identity,-2530.3218669804664,5076.643733960933,5117.364348647142,1200,8,True,23,0.00010951150457721992,Optimization terminated successfully,0
D1_nb2_identity,ZIP--ZINB,identity,-2529.610698730896,5079.221397461792,5130.122165819553,1200,10,True,48,0.00014663738403264404,Optimization terminated successfully,0
D1_nb2_identity,Poisson,identity,-4111.070285386473,8226.140570772946,8236.320724444498,1200,2,True,5,0.00038046684635761885,Optimization terminated successfully,1
D1_nb2_identity,NB,identity,-2429.2354620397564,4864.470924079513,4879.741154586841,1200,3,True,8,3.4442243322274635e-05,Optimization terminated successfully,1
D1_nb2_identity,ZIP,identity,-3225.429280180829,6458.858560361658,6479.2188677047625,1200,4,True,10,4.7607221142831335e-05,Optimization terminated successfully,1
D1_nb2_identity,ZINB,identity,-2424.479128774811,4858.958257549622,4884.4086417285025,1200,5,True,19,2.7963968417643592e-05,Optimization terminated successfully,1
D1_nb2_identity,P+NB,identity,-2324.571865070443,4661.143730140886,4691.684191155542,1200,6,True,16,2.3350210988058728e-05,Optimization terminated successfully,1
D1_nb2_identity,Z+P+NB,identity,-2318.199332202272,4652.398664404544,4693.1192790907535,1200,8,True,25,0.00014072893022820665,Optimization terminated successfully,1
D1_nb2_identity,ZIP--ZINB,identity,-2309.025125821033,4638.050251642066,4688.951019999827,1200,10,True,35,7.470247655672058e-05,Optimization terminated successfully,1
