Scenario,Rep,Model,Index,Value
D1_nb2_identity,0,Poisson,0,1.2156730637244961
D1_nb2_identity,0,Poisson,1,1.316335042086679
D1_nb2_identity,0,NB,0,1.2018097320824757
D1_nb2_identity,0,NB,1,1.3281085880874746
D1_nb2_identity,0,NB,2,0.6802790700606057
D1_nb2_identity,0,ZIP,0,2.4181659161723243
D1_nb2_identity,0,ZIP,1,1.6539540677001654
D1_nb2_identity,0,ZIP,2,-0.1929906401513437
D1_nb2_identity,0,ZIP,3,-0.24755005293555107
D1_nb2_identity,0,ZINB,0,1.2018090912318442
D1_nb2_identity,0,ZINB,1,1.328109569489693
D1_nb2_identity,0,ZINB,2,-25.337042336898094
D1_nb2_identity,0,ZINB,3,1.6335419454305433
D1_nb2_identity,0,ZINB,4,0.6802790806380223
D1_nb2_identity,0,P+NB,0,-0.13736354401486503
D1_nb2_identity,0,P+NB,1,1.9342107080752724
D1_nb2_identity,0,P+NB,2,0.622676228243696
D1_nb2_identity,0,P+NB,3,0.4731482666584522
D1_nb2_identity,0,P+NB,4,2.0399802530164632
D1_nb2_identity,0,P+NB,5,1.9073178497011511
D1_nb2_identity,0,Z+P+NB,0,0.7575821007334862
D1_nb2_identity,0,Z+P+NB,1,1.918226988047731
D1_nb2_identity,0,Z+P+NB,2,0.5750652399810912
D1_nb2_identity,0,Z+P+NB,3,1.4933047116213842
D1_nb2_identity,0,Z+P+NB,4,4.053539453326739
D1_nb2_identity,0,Z+P+NB,5,-0.7282520719577036
D1_nb2_identity,0,Z+P+NB,6,-0.192373096752762
D1_nb2_identity,0,Z+P+NB,7,0.8806075450100278
D1_nb2_identity,0,ZIP--ZINB,0,1.6291377553231503
D1_nb2_identity,0,ZIP--ZINB,1,1.9300258339277316
D1_nb2_identity,0,ZIP--ZINB,2,0.5387086020066472
D1_nb2_identity,0,ZIP--ZINB,3,-0.49971659671012125
D1_nb2_identity,0,ZIP--ZINB,4,-0.07619232368758994
D1_nb2_identity,0,ZIP--ZINB,5,5.050001577062682
D1_nb2_identity,0,ZIP--ZINB,6,4.1969345874532475
D1_nb2_identity,0,ZIP--ZINB,7,1.983791906253082
D1_nb2_identity,0,ZIP--ZINB,8,-4.488620643078492
D1_nb2_identity,0,ZIP--ZINB,9,0.26477353881249494
D1_nb2_identity,1,Poisson,0,1.0799582655394926
D1_nb2_identity,1,Poisson,1,1.048561763403536
D1_nb2_identity,1,NB,0,1.1147150750155856
D1_nb2_identity,1,NB,1,1.0178384318202038
D1_nb2_identity,1,NB,2,0.7250172183239059
D1_nb2_identity,1,ZIP,0,2.2829050276807754
D1_nb2_identity,1,ZIP,1,1.448482239793598
D1_nb2_identity,1,ZIP,2,-0.013676204525814247
D1_nb2_identity,1,ZIP,3,-0.21491126736929073
D1_nb2_identity,1,ZINB,0,1.4017811003968639
D1_nb2_identity,1,ZINB,1,1.235937671490127
D1_nb2_identity,1,ZINB,2,-1.3598813513614105
D1_nb2_identity,1,ZINB,3,-0.05928852619500887
D1_nb2_identity,1,ZINB,4,0.27016481562887734
D1_nb2_identity,1,P+NB,0,-0.19160682640494878
D1_nb2_identity,1,P+NB,1,2.180970334574813
D1_nb2_identity,1,P+NB,2,0.5365240930272254
D1_nb2_identity,1,P+NB,3,0.42848611819929167
D1_nb2_identity,1,P+NB,4,1.2429501628746846
D1_nb2_identity,1,P+NB,5,2.277879070616474
D1_nb2_identity,1,Z+P+NB,0,1.9680127640619136
D1_nb2_identity,1,Z+P+NB,1,2.10356771382165
D1_nb2_identity,1,Z+P+NB,2,0.49543926568265706
D1_nb2_identity,1,Z+P+NB,3,5.180623088263705
D1_nb2_identity,1,Z+P+NB,4,5.786319994983558
D1_nb2_identity,1,Z+P+NB,5,-0.10463765248355873
D1_nb2_identity,1,Z+P+NB,6,-0.21599929036000443
D1_nb2_identity,1,Z+P+NB,7,-0.5760558375273195
D1_nb2_identity,1,ZIP--ZINB,0,1.5902314354540863
D1_nb2_identity,1,ZIP--ZINB,1,2.215837561309253
D1_nb2_identity,1,ZIP--ZINB,2,0.4536295557832929
D1_nb2_identity,1,ZIP--ZINB,3,-0.5711110498222349
D1_nb2_identity,1,ZIP--ZINB,4,-0.07147486085671763
D1_nb2_identity,1,ZIP--ZINB,5,19.713336804914796
D1_nb2_identity,1,ZIP--ZINB,6,0.3226360572552795
D1_nb2_identity,1,ZIP--ZINB,7,2.974206961928386
D1_nb2_identity,1,ZIP--ZINB,8,-1.2794318546487105
D1_nb2_identity,1,ZIP--ZINB,9,-1.417731676960725
