Scenario,Dataset,Rep,Model,Index,Value
D1,Dataset 1,0,ZIP--ZINB,0,1.3469870456008983
D1,Dataset 1,0,ZIP--ZINB,1,1.649847110027633
D1,Dataset 1,0,ZIP--ZINB,2,1.2605793601964057
D1,Dataset 1,0,ZIP--ZINB,3,-1.317672213658261
D1,Dataset 1,0,ZIP--ZINB,4,0.4724991670549639
D1,Dataset 1,0,ZIP--ZINB,5,1.5721832964226317
D1,Dataset 1,0,ZIP--ZINB,6,6.610141654415623
D1,Dataset 1,0,ZIP--ZINB,7,-24.999999999771283
D1,Dataset 1,0,ZIP--ZINB,8,8.809141098564666
D1,Dataset 1,0,ZIP--ZINB,9,-0.651964460424627
