Scenario,Dataset,Rep,elapsed_sec
D1,Dataset 1,14,99.47048830986023
D1,Dataset 1,10,99.88286805152893
D1,Dataset 1,4,101.24023771286011
D1,Dataset 1,9,102.17433333396912
D1,Dataset 1,3,102.74760031700134
D1,Dataset 1,7,106.64807891845703
D1,Dataset 1,8,106.7516188621521
D1,Dataset 1,6,106.98250150680542
D1,Dataset 1,0,108.1237850189209
D1,Dataset 1,2,108.58830523490906
D1,Dataset 1,11,109.66299510002136
D1,Dataset 1,12,109.96126246452332
D1,Dataset 1,1,111.7048728466034
D1,Dataset 1,13,112.58971667289734
D1,Dataset 1,5,114.70104336738586
D1,Dataset 1,16,102.05081725120544
D1,Dataset 1,19,102.70336723327637
D1,Dataset 1,18,105.73273015022278
D1,Dataset 1,17,107.77690601348877
D1,Dataset 1,21,103.78014588356018
D1,Dataset 1,15,112.04166841506958
D1,Dataset 1,26,108.25515294075012
D1,Dataset 1,20,111.7390878200531
D1,Dataset 1,27,107.09803700447083
D1,Dataset 1,28,106.32334351539612
D1,Dataset 1,25,109.27894330024719
D1,Dataset 1,23,113.25190091133118
D1,Dataset 1,29,106.94508194923401
D1,Dataset 1,24,120.28233051300049
D1,Dataset 1,22,123.70733141899109
D1,Dataset 1,30,111.1746072769165
D1,Dataset 1,33,104.42807865142822
D1,Dataset 1,34,103.94887089729309
D1,Dataset 1,35,103.74515652656555
D1,Dataset 1,32,114.3648293018341
D1,Dataset 1,37,104.42413210868835
D1,Dataset 1,31,118.6956958770752
D1,Dataset 1,36,108.04475164413452
D1,Dataset 1,42,105.01413917541504
D1,Dataset 1,38,110.14789485931396
D1,Dataset 1,39,112.86287450790405
D1,Dataset 1,40,121.04986786842346
D1,Dataset 1,41,119.67946362495422
D1,Dataset 1,43,114.42040824890137
D1,Dataset 1,44,115.39074373245239
D1,Dataset 1,47,104.73836255073547
D1,Dataset 1,48,104.04995465278625
D1,Dataset 1,45,107.34838080406189
D1,Dataset 1,46,114.1860032081604
D1,Dataset 1,54,102.8426468372345
D1,Dataset 1,50,110.39988708496094
D1,Dataset 1,51,110.92964243888855
D1,Dataset 1,55,104.17879056930542
D1,Dataset 1,53,111.4413697719574
D1,Dataset 1,49,117.09257817268372
D1,Dataset 1,56,101.18714022636414
D1,Dataset 1,52,117.25614547729492
D1,Dataset 1,57,110.36442637443542
D1,Dataset 1,59,105.5219476222992
D1,Dataset 1,58,110.2312593460083
D1,Dataset 1,62,103.36159825325012
D1,Dataset 1,61,108.1119441986084
D1,Dataset 1,60,115.85758805274963
D1,Dataset 1,67,101.25741291046143
D1,Dataset 1,68,100.81496143341064
D1,Dataset 1,70,101.61426901817322
