Scenario,Dataset,Rep,Coefficient,CoefficientLatex,true,estimate
D1,Dataset 1,14,beta_z[0],$\beta_{10}$,2.0,2.0549879448164963
D1,Dataset 1,14,beta_z[1],$\beta_{11}$,1.0,0.93733884395834
D1,Dataset 1,14,gamma_z[0],$\gamma_{10}$,-2.0,-1.9110184375374033
D1,Dataset 1,14,gamma_z[1],$\gamma_{11}$,1.0,0.9933093014361645
D1,Dataset 1,14,beta_nb[0],$\beta_{20}$,4.0,3.9428632238212016
D1,Dataset 1,14,beta_nb[1],$\beta_{21}$,3.5,3.562844877928707
D1,Dataset 1,14,gamma_nb[0],$\gamma_{20}$,1.0,1.547109134944003
D1,Dataset 1,14,gamma_nb[1],$\gamma_{21}$,-3.0,-4.202549366045638
D1,Dataset 1,10,beta_z[0],$\beta_{10}$,2.0,2.0168390767156774
D1,Dataset 1,10,beta_z[1],$\beta_{11}$,1.0,0.9856010262578699
D1,Dataset 1,10,gamma_z[0],$\gamma_{10}$,-2.0,-2.0264318517718314
D1,Dataset 1,10,gamma_z[1],$\gamma_{11}$,1.0,0.9907543273765167
D1,Dataset 1,10,beta_nb[0],$\beta_{20}$,4.0,3.8627119482783243
D1,Dataset 1,10,beta_nb[1],$\beta_{21}$,3.5,3.2653547395124303
D1,Dataset 1,10,gamma_nb[0],$\gamma_{20}$,1.0,0.967436101832747
D1,Dataset 1,10,gamma_nb[1],$\gamma_{21}$,-3.0,-3.085980709072184
D1,Dataset 1,4,beta_z[0],$\beta_{10}$,2.0,2.0842299227577783
D1,Dataset 1,4,beta_z[1],$\beta_{11}$,1.0,0.9252555111990487
D1,Dataset 1,4,gamma_z[0],$\gamma_{10}$,-2.0,-1.9206594731388205
D1,Dataset 1,4,gamma_z[1],$\gamma_{11}$,1.0,0.938206560260433
D1,Dataset 1,4,beta_nb[0],$\beta_{20}$,4.0,4.260636623581817
D1,Dataset 1,4,beta_nb[1],$\beta_{21}$,3.5,3.519351131088227
D1,Dataset 1,4,gamma_nb[0],$\gamma_{20}$,1.0,0.9426916710297313
D1,Dataset 1,4,gamma_nb[1],$\gamma_{21}$,-3.0,-2.9933356051750852
D1,Dataset 1,9,beta_z[0],$\beta_{10}$,2.0,1.976289710786864
D1,Dataset 1,9,beta_z[1],$\beta_{11}$,1.0,0.9966578105073374
D1,Dataset 1,9,gamma_z[0],$\gamma_{10}$,-2.0,-1.945260899813249
D1,Dataset 1,9,gamma_z[1],$\gamma_{11}$,1.0,0.9803093760031556
D1,Dataset 1,9,beta_nb[0],$\beta_{20}$,4.0,3.7760349493706156
D1,Dataset 1,9,beta_nb[1],$\beta_{21}$,3.5,3.7399962062457304
D1,Dataset 1,9,gamma_nb[0],$\gamma_{20}$,1.0,0.8804805107561144
D1,Dataset 1,9,gamma_nb[1],$\gamma_{21}$,-3.0,-2.7910314377433583
D1,Dataset 1,3,beta_z[0],$\beta_{10}$,2.0,1.989401726113466
D1,Dataset 1,3,beta_z[1],$\beta_{11}$,1.0,0.9998477771002634
D1,Dataset 1,3,gamma_z[0],$\gamma_{10}$,-2.0,-2.0451652447448847
D1,Dataset 1,3,gamma_z[1],$\gamma_{11}$,1.0,1.031366976475105
D1,Dataset 1,3,beta_nb[0],$\beta_{20}$,4.0,4.080693715165351
