Scenario,Dataset,Rep,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,reject,method
D1,Dataset 1,14,Poisson,ZIP--ZINB,-95707.98335551051,-43888.16547512024,103639.63576078055,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,14,NB,ZIP--ZINB,-45952.753005920866,-43888.16547512024,4129.175061601258,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,14,P+NB,ZIP--ZINB,-44594.08303427581,-43888.16547512024,1411.8351183111517,nan,2,6.916562062393965e-308,True,chi-bar² heuristic; k=2
D1,Dataset 1,14,ZIP,ZIP--ZINB,-68341.60361390305,-43888.16547512024,48906.87627756562,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,14,ZINB,ZIP--ZINB,-45116.79997285378,-43888.16547512024,2457.268995467093,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,14,Z+P+NB,ZIP--ZINB,-43964.284514655425,-43888.16547512024,152.23807907037553,2,0,8.748249529719664e-34,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,10,Poisson,ZIP--ZINB,-95916.87507710206,-44290.17176229301,103253.4066296181,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,10,NB,ZIP--ZINB,-46280.54218753637,-44290.17176229301,3980.74085048672,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,10,P+NB,ZIP--ZINB,-44879.93792334636,-44290.17176229301,1179.5323221067083,nan,2,1.9295612577910994e-257,True,chi-bar² heuristic; k=2
D1,Dataset 1,10,ZIP,ZIP--ZINB,-69689.07015033944,-44290.17176229301,50797.79677609286,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,10,ZINB,ZIP--ZINB,-45552.27010331585,-44290.17176229301,2524.1966820456873,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,10,Z+P+NB,ZIP--ZINB,-44352.9818692328,-44290.17176229301,125.62021387957793,2,0,5.271292897426123e-28,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,4,Poisson,ZIP--ZINB,-99777.57003633716,-45076.69949353433,109401.74108560565,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,4,NB,ZIP--ZINB,-47024.4649354604,-45076.69949353433,3895.5308838521305,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,4,P+NB,ZIP--ZINB,-45659.3983935712,-45076.69949353433,1165.3978000737407,nan,2,2.2638482331006048e-254,True,chi-bar² heuristic; k=2
D1,Dataset 1,4,ZIP,ZIP--ZINB,-72538.24003760351,-45076.69949353433,54923.08108813835,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,4,ZINB,ZIP--ZINB,-46351.069193574775,-45076.69949353433,2548.7394000808854,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,4,Z+P+NB,ZIP--ZINB,-45147.38365710888,-45076.69949353433,141.3683271491027,2,0,2.0056622555967035e-31,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,9,Poisson,ZIP--ZINB,-99586.7852984934,-44569.08395014123,110035.40269670435,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,9,NB,ZIP--ZINB,-46518.838580788346,-44569.08395014123,3899.509261294239,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,9,P+NB,ZIP--ZINB,-45192.878428768556,-44569.08395014123,1247.5889572546585,nan,2,3.210817805336756e-272,True,chi-bar² heuristic; k=2
D1,Dataset 1,9,ZIP,ZIP--ZINB,-71444.0709873222,-44569.08395014123,53749.97407436193,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,9,ZINB,ZIP--ZINB,-45779.75522186216,-44569.08395014123,2421.3425434418605,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,9,Z+P+NB,ZIP--ZINB,-44638.097663850254,-44569.08395014123,138.0274274180556,2,0,1.0659208578212086e-30,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,3,Poisson,ZIP--ZINB,-98966.95792697891,-44352.261840897816,109229.39217216219,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,3,NB,ZIP--ZINB,-46322.20371548277,-44352.261840897816,3939.8837491699087,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,3,P+NB,ZIP--ZINB,-44974.30891407191,-44352.261840897816,1244.0941463481868,nan,2,1.843021894564905e-271,True,chi-bar² heuristic; k=2
D1,Dataset 1,3,ZIP,ZIP--ZINB,-70808.36554500423,-44352.261840897816,52912.207408212824,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,3,ZINB,ZIP--ZINB,-45578.45588171367,-44352.261840897816,2452.3880816317105,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,3,Z+P+NB,ZIP--ZINB,-44424.1508514014,-44352.261840897816,143.77802100716508,2,0,6.011729468108189e-32,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,7,Poisson,ZIP--ZINB,-98260.31984079683,-44505.09805151735,107510.44357855896,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,7,NB,ZIP--ZINB,-46494.99826396565,-44505.09805151735,3979.8004248966026,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,7,P+NB,ZIP--ZINB,-45118.619803023816,-44505.09805151735,1227.0435030129302,nan,2,9.293097134118748e-268,True,chi-bar² heuristic; k=2
D1,Dataset 1,7,ZIP,ZIP--ZINB,-70754.75282505428,-44505.09805151735,52499.30954707386,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,7,ZINB,ZIP--ZINB,-45746.744549761024,-44505.09805151735,2483.2929964873474,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,7,Z+P+NB,ZIP--ZINB,-44581.18114320602,-44505.09805151735,152.16618337733962,2,0,9.06845105791284e-34,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,8,Poisson,ZIP--ZINB,-100823.23543659376,-44988.54599386035,111669.37888546682,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,8,NB,ZIP--ZINB,-46951.04730435013,-44988.54599386035,3925.0026209795615,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,8,P+NB,ZIP--ZINB,-45594.561482738565,-44988.54599386035,1212.0309777564253,nan,2,1.691240797353184e-264,True,chi-bar² heuristic; k=2
D1,Dataset 1,8,ZIP,ZIP--ZINB,-72358.21859753379,-44988.54599386035,54739.34520734688,nan,1,0.0,True,chi-bar² heuristic; k=1
