Scenario,DatasetLabel,Rep,Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message,fit_elapsed_sec
D1,Dataset 1,14,D1,Poisson,identity,-95707.98335551051,191419.96671102103,191435.7736861261,20000,2,True,8,0.000419032977707845,not_computed,nan,0,Optimization terminated successfully,0.6549489498138428
D1,Dataset 1,14,D1,NB,identity,-45952.753005920866,91911.50601184173,91935.21647449934,20000,3,True,9,0.0008059192664369164,not_computed,nan,0,Optimization terminated successfully,1.7269487380981445
D1,Dataset 1,14,D1,ZIP,identity,-68341.60361390305,136691.2072278061,136722.82117801625,20000,4,True,12,0.000384438131250997,not_computed,nan,0,Optimization terminated successfully,4.217497110366821
D1,Dataset 1,14,D1,ZINB,identity,-45116.79997285378,90243.59994570757,90283.11738347025,20000,5,True,17,0.00019197750422650373,not_computed,nan,0,Optimization terminated successfully,14.31039047241211
D1,Dataset 1,14,D1,P+NB,identity,-44594.08303427581,89200.16606855163,89247.58699386685,20000,6,True,15,0.00017693234241696054,not_computed,nan,0,Optimization terminated successfully,11.415520191192627
D1,Dataset 1,14,D1,Z+P+NB,identity,-43964.284514655425,87944.56902931085,88007.79692973114,20000,8,True,23,0.00016973023936942694,not_computed,nan,0,Optimization terminated successfully,22.10427212715149
D1,Dataset 1,14,D1,ZIP--ZINB,identity,-43888.16547512024,87796.33095024047,87875.36582576584,20000,10,True,46,0.00013014090012554436,inverse,2.4935534163755895,10,Optimization terminated successfully,45.021772146224976
D1,Dataset 1,10,D1,Poisson,identity,-95916.87507710206,191837.7501542041,191853.5571293092,20000,2,True,7,1.1501034159588919e-05,not_computed,nan,0,Optimization terminated successfully,0.5862433910369873
D1,Dataset 1,10,D1,NB,identity,-46280.54218753637,92567.08437507274,92590.79483773034,20000,3,True,8,4.6382069202474674e-05,not_computed,nan,0,Optimization terminated successfully,2.1665706634521484
D1,Dataset 1,10,D1,ZIP,identity,-69689.07015033944,139386.14030067888,139417.75425088903,20000,4,True,11,0.00017567110289862242,not_computed,nan,0,Optimization terminated successfully,5.369649410247803
D1,Dataset 1,10,D1,ZINB,identity,-45552.27010331585,91114.5402066317,91154.05764439439,20000,5,True,21,0.0002863164639344551,not_computed,nan,0,Optimization terminated successfully,10.22939920425415
D1,Dataset 1,10,D1,P+NB,identity,-44879.93792334636,89771.87584669272,89819.29677200795,20000,6,True,17,0.00020784203569002013,not_computed,nan,0,Optimization terminated successfully,12.504512071609497
D1,Dataset 1,10,D1,Z+P+NB,identity,-44352.9818692328,88721.9637384656,88785.19163888588,20000,8,True,20,0.00022902928080981155,not_computed,nan,0,Optimization terminated successfully,25.637388944625854
D1,Dataset 1,10,D1,ZIP--ZINB,identity,-44290.17176229301,88600.34352458602,88679.37840011138,20000,10,True,14,0.00037691684165941375,inverse,3.7867184445612203,10,Optimization terminated successfully,43.36444854736328
D1,Dataset 1,4,D1,Poisson,identity,-99777.57003633716,199559.14007267432,199574.9470477794,20000,2,True,6,7.764609881788509e-05,not_computed,nan,0,Optimization terminated successfully,0.5551402568817139
D1,Dataset 1,4,D1,NB,identity,-47024.4649354604,94054.9298709208,94078.6403335784,20000,3,True,9,7.897726445804665e-05,not_computed,nan,0,Optimization terminated successfully,2.2846686840057373
