Scenario,Dataset,Rep,Model,fit_elapsed_sec,success,nit,grad_norm_inf
D1,Dataset 1,14,Poisson,0.6549489498138428,True,8,0.000419032977707845
D1,Dataset 1,14,NB,1.7269487380981445,True,9,0.0008059192664369164
D1,Dataset 1,14,ZIP,4.217497110366821,True,12,0.000384438131250997
D1,Dataset 1,14,ZINB,14.31039047241211,True,17,0.00019197750422650373
D1,Dataset 1,14,P+NB,11.415520191192627,True,15,0.00017693234241696054
D1,Dataset 1,14,Z+P+NB,22.10427212715149,True,23,0.00016973023936942694
D1,Dataset 1,14,ZIP--ZINB,45.021772146224976,True,46,0.00013014090012554436
D1,Dataset 1,10,Poisson,0.5862433910369873,True,7,1.1501034159588919e-05
D1,Dataset 1,10,NB,2.1665706634521484,True,8,4.6382069202474674e-05
D1,Dataset 1,10,ZIP,5.369649410247803,True,11,0.00017567110289862242
D1,Dataset 1,10,ZINB,10.22939920425415,True,21,0.0002863164639344551
D1,Dataset 1,10,P+NB,12.504512071609497,True,17,0.00020784203569002013
D1,Dataset 1,10,Z+P+NB,25.637388944625854,True,20,0.00022902928080981155
D1,Dataset 1,10,ZIP--ZINB,43.36444854736328,True,14,0.00037691684165941375
D1,Dataset 1,4,Poisson,0.5551402568817139,True,6,7.764609881788509e-05
D1,Dataset 1,4,NB,2.2846686840057373,True,9,7.897726445804665e-05
D1,Dataset 1,4,ZIP,4.669806718826294,True,12,0.00010609940976694099
D1,Dataset 1,4,ZINB,10.459556579589844,True,16,0.00021959096061024974
D1,Dataset 1,4,P+NB,10.243101119995117,True,16,8.31000633851886e-05
D1,Dataset 1,4,Z+P+NB,26.145404815673828,True,30,0.000179815957075391
D1,Dataset 1,4,ZIP--ZINB,46.85163164138794,True,50,0.0004749544682496054
D1,Dataset 1,9,Poisson,0.423006534576416,True,8,0.0006604154612599444
D1,Dataset 1,9,NB,1.8593878746032715,True,11,9.49269061077812e-05
D1,Dataset 1,9,ZIP,5.2586829662323,True,11,0.00017047610286025083
D1,Dataset 1,9,ZINB,13.414659261703491,True,15,0.0005727750798566467
D1,Dataset 1,9,P+NB,11.717819452285767,True,19,9.904694447548934e-05
D1,Dataset 1,9,Z+P+NB,25.514114141464233,True,18,0.0005615074608835702
D1,Dataset 1,9,ZIP--ZINB,43.961389780044556,True,14,4.796540762636026e-05
D1,Dataset 1,3,Poisson,0.7529647350311279,True,7,1.6740277133386883e-05
D1,Dataset 1,3,NB,1.6174349784851074,True,8,0.0001503398435502845
D1,Dataset 1,3,ZIP,3.472472906112671,True,12,0.0001259525525549865
D1,Dataset 1,3,ZINB,14.344033241271973,True,14,0.0013735392175488886
D1,Dataset 1,3,P+NB,10.38903260231018,True,15,0.00010042769628446383
D1,Dataset 1,3,Z+P+NB,27.911957502365112,True,27,0.00044451079566865115
D1,Dataset 1,3,ZIP--ZINB,44.23547410964966,True,17,0.00019127525847490427
D1,Dataset 1,7,Poisson,0.7659032344818115,True,5,0.00012558151062336265
D1,Dataset 1,7,NB,2.696425199508667,True,9,0.00013753502861391098
D1,Dataset 1,7,ZIP,6.4559149742126465,True,11,0.0001987038802271357
D1,Dataset 1,7,ZINB,14.240561485290527,True,18,0.0006200714131825436
D1,Dataset 1,7,P+NB,12.151849508285522,True,13,7.183964577855972e-05
D1,Dataset 1,7,Z+P+NB,27.70312213897705,True,20,0.0012788231527121052
D1,Dataset 1,7,ZIP--ZINB,42.61203718185425,True,16,0.00018293821095149987
D1,Dataset 1,8,Poisson,0.9582886695861816,True,7,1.88228447599581e-05
D1,Dataset 1,8,NB,2.3826799392700195,True,9,0.00031889519843275593
D1,Dataset 1,8,ZIP,4.583498001098633,True,12,0.0001899582245769027
D1,Dataset 1,8,ZINB,12.700995206832886,True,23,0.0008099376823433313
D1,Dataset 1,8,P+NB,9.987377882003784,True,17,0.0006023585824905808
D1,Dataset 1,8,Z+P+NB,27.551398038864136,True,30,0.0004650799387413418
D1,Dataset 1,8,ZIP--ZINB,48.558107137680054,True,15,8.568572064410196e-05
D1,Dataset 1,6,Poisson,0.71714186668396,True,6,0.00022705924576127412
D1,Dataset 1,6,NB,1.9988250732421875,True,11,3.137928580443372e-05
D1,Dataset 1,6,ZIP,4.845785856246948,True,12,0.00048005463053013564
D1,Dataset 1,6,ZINB,11.003931283950806,True,14,0.00017369057156721435
D1,Dataset 1,6,P+NB,10.536817789077759,True,16,0.00028695371507225786
D1,Dataset 1,6,Z+P+NB,32.64703035354614,True,20,0.0003852593078861877
D1,Dataset 1,6,ZIP--ZINB,45.20794439315796,True,38,0.0003448909083568763
D1,Dataset 1,0,Poisson,0.688770055770874,True,7,2.788241234519262e-05
D1,Dataset 1,0,NB,1.517455816268921,True,9,0.00012001933164818013
D1,Dataset 1,0,ZIP,5.9563939571380615,True,11,0.001422262152571463
D1,Dataset 1,0,ZINB,14.468238115310669,True,18,0.00039388002447771076
D1,Dataset 1,0,P+NB,10.709975719451904,True,15,0.0006494179761240559
D1,Dataset 1,0,Z+P+NB,25.87108016014099,True,20,0.00021915618651391355
D1,Dataset 1,0,ZIP--ZINB,48.88170909881592,True,17,3.936875536433848e-05
D1,Dataset 1,2,Poisson,0.797675609588623,True,8,0.0002632214222534346
D1,Dataset 1,2,NB,1.8907115459442139,True,9,0.00011262140051648828
D1,Dataset 1,2,ZIP,6.059186935424805,True,10,3.396202144981264e-05
D1,Dataset 1,2,ZINB,12.35675859451294,True,15,0.001043783923801521
D1,Dataset 1,2,P+NB,9.13585114479065,True,18,0.0002605853757593479
D1,Dataset 1,2,Z+P+NB,26.57746458053589,True,20,0.0011849079268256568
D1,Dataset 1,2,ZIP--ZINB,51.743481159210205,True,17,0.00045962152563949754
D1,Dataset 1,11,Poisson,0.8538126945495605,True,6,5.294160583346752e-05
D1,Dataset 1,11,NB,1.9300105571746826,True,10,0.00017261138449709001
D1,Dataset 1,11,ZIP,4.562700271606445,True,12,0.00016337017016976318
D1,Dataset 1,11,ZINB,9.24594235420227,True,15,0.00030199965541122253
D1,Dataset 1,11,P+NB,13.083766222000122,True,22,0.0006745878025888885
D1,Dataset 1,11,Z+P+NB,27.92533302307129,True,23,0.000442581192381164
D1,Dataset 1,11,ZIP--ZINB,52.037354469299316,True,58,0.0003882534341156374
D1,Dataset 1,12,Poisson,0.4893932342529297,True,6,0.00014435203110485517
D1,Dataset 1,12,NB,1.829552412033081,True,10,7.369848832894377e-05
D1,Dataset 1,12,ZIP,7.468776702880859,True,12,0.0008710648134570009
D1,Dataset 1,12,ZINB,11.810479879379272,True,16,0.0003097513391608908
D1,Dataset 1,12,P+NB,10.755719661712646,True,15,0.00027022096108630933
D1,Dataset 1,12,Z+P+NB,26.31485915184021,True,24,3.120020741825477e-05
D1,Dataset 1,12,ZIP--ZINB,51.2723069190979,True,50,0.0006507926111772311
D1,Dataset 1,1,Poisson,0.9124476909637451,True,8,0.00019125808259135013
D1,Dataset 1,1,NB,2.1878857612609863,True,14,0.00016170799118953028
D1,Dataset 1,1,ZIP,7.045631408691406,True,12,5.425095529243418e-05
D1,Dataset 1,1,ZINB,11.510507345199585,True,15,0.00013010875410751632
D1,Dataset 1,1,P+NB,11.216050386428833,True,29,0.0006315837870971563
D1,Dataset 1,1,Z+P+NB,27.226092100143433,True,24,0.0007058315469368748
D1,Dataset 1,1,ZIP--ZINB,51.57785987854004,True,56,0.00035911419039382636
D1,Dataset 1,13,Poisson,0.6198623180389404,True,6,3.4952866774240476e-05
D1,Dataset 1,13,NB,3.3800225257873535,True,14,0.00029128486391449826
D1,Dataset 1,13,ZIP,4.505117893218994,True,12,0.00021538992744957186
D1,Dataset 1,13,ZINB,15.184659957885742,True,22,0.0002284152994362909
D1,Dataset 1,13,P+NB,12.297807216644287,True,19,0.0002570679234814577
D1,Dataset 1,13,Z+P+NB,28.189140558242798,True,19,0.00012211390305829245
D1,Dataset 1,13,ZIP--ZINB,48.392905712127686,True,14,0.00014420368678898823
D1,Dataset 1,5,Poisson,1.0507631301879883,True,8,6.809228243870313e-05
D1,Dataset 1,5,NB,2.2991693019866943,True,13,2.9900854343622996e-05
D1,Dataset 1,5,ZIP,6.677427291870117,True,12,8.572023973474341e-05
D1,Dataset 1,5,ZINB,12.860572814941406,True,27,0.00015082216548589766
D1,Dataset 1,5,P+NB,12.10300612449646,True,15,0.00022980403238376246
D1,Dataset 1,5,Z+P+NB,27.047677516937256,True,20,0.00027735530101202777
D1,Dataset 1,5,ZIP--ZINB,52.63907861709595,True,45,0.00018395959168771014
D1,Dataset 1,16,Poisson,0.377793550491333,True,5,1.6603738336451457e-05
D1,Dataset 1,16,NB,2.0517349243164062,True,9,2.7824004624088516e-05
D1,Dataset 1,16,ZIP,4.409407138824463,True,12,3.466671110907704e-05
D1,Dataset 1,16,ZINB,11.103541851043701,True,36,0.00015772802719821177
D1,Dataset 1,16,P+NB,10.964158773422241,True,18,0.0005807053334159207
D1,Dataset 1,16,Z+P+NB,28.27943229675293,True,20,0.0002441312570341525
D1,Dataset 1,16,ZIP--ZINB,44.84699869155884,True,33,0.0003954883564217804
D1,Dataset 1,19,Poisson,0.7538821697235107,True,7,2.2427922602652473e-05
D1,Dataset 1,19,NB,2.409578561782837,True,13,9.516933634107216e-05
D1,Dataset 1,19,ZIP,5.126867055892944,True,12,0.00033298352940702713
D1,Dataset 1,19,ZINB,9.928665161132812,True,16,0.00026911539801133255
D1,Dataset 1,19,P+NB,11.1222083568573,True,14,0.000145308073800976
D1,Dataset 1,19,Z+P+NB,28.188551425933838,True,22,0.0004150447351773945
D1,Dataset 1,19,ZIP--ZINB,45.1555552482605,True,17,0.00020475433342636087
D1,Dataset 1,18,Poisson,0.5001003742218018,True,7,1.583671301147449e-05
D1,Dataset 1,18,NB,1.4000630378723145,True,8,1.1987203837465765e-05
D1,Dataset 1,18,ZIP,7.143028020858765,True,14,0.00012962217417056277
D1,Dataset 1,18,ZINB,11.342566013336182,True,19,0.0005781155707758057
D1,Dataset 1,18,P+NB,11.015011548995972,True,19,0.0004958987853832253
D1,Dataset 1,18,Z+P+NB,24.2024245262146,True,24,0.0003354090932150555
D1,Dataset 1,18,ZIP--ZINB,50.11152172088623,True,42,7.11272505707905e-05
D1,Dataset 1,17,Poisson,0.4244265556335449,True,6,0.00026391554312543697
D1,Dataset 1,17,NB,1.9145264625549316,True,17,0.00010189968883622669
D1,Dataset 1,17,ZIP,3.832967519760132,True,11,0.0006207248972622814
D1,Dataset 1,17,ZINB,13.100797653198242,True,19,0.0001740427848249404
D1,Dataset 1,17,P+NB,12.78510332107544,True,18,0.0002130016387376088
D1,Dataset 1,17,Z+P+NB,30.817371606826782,True,22,0.0005888475616175892
D1,Dataset 1,17,ZIP--ZINB,44.88383483886719,True,48,0.0009779336574612385
D1,Dataset 1,21,Poisson,0.5711269378662109,True,7,4.32483439564979e-06
D1,Dataset 1,21,NB,1.6096396446228027,True,17,2.7496493657880317e-05
D1,Dataset 1,21,ZIP,4.055871963500977,True,13,0.00012669220941829984
D1,Dataset 1,21,ZINB,15.529886722564697,True,25,0.00035902778384069856
D1,Dataset 1,21,P+NB,9.623944997787476,True,16,0.00020962899911936006
D1,Dataset 1,21,Z+P+NB,25.597576379776,True,23,0.00015356286795112362
D1,Dataset 1,21,ZIP--ZINB,46.773813247680664,True,16,8.197226225703513e-05
D1,Dataset 1,15,Poisson,0.8884916305541992,True,8,0.0003634483529626753
D1,Dataset 1,15,NB,2.0525691509246826,True,8,9.896566414004798e-06
D1,Dataset 1,15,ZIP,6.49944806098938,True,12,0.0002417281491710055
D1,Dataset 1,15,ZINB,15.046263456344604,True,17,0.00025036219702689877
D1,Dataset 1,15,P+NB,10.967222452163696,True,20,0.0001751586264635563
D1,Dataset 1,15,Z+P+NB,28.312908172607422,True,24,0.00045702747503995056
D1,Dataset 1,15,ZIP--ZINB,48.25665473937988,True,33,0.00013777821356519837
D1,Dataset 1,26,Poisson,0.7527890205383301,True,7,4.257631505799608e-06
D1,Dataset 1,26,NB,2.0967025756835938,True,9,7.384077613406537e-05
D1,Dataset 1,26,ZIP,5.730788469314575,True,12,0.0002556680641478959
D1,Dataset 1,26,ZINB,15.113577842712402,True,18,0.0006068400405659646
D1,Dataset 1,26,P+NB,9.516144514083862,True,14,0.0002088748684219155
D1,Dataset 1,26,Z+P+NB,26.14916443824768,True,21,0.0001576140164379347
D1,Dataset 1,26,ZIP--ZINB,48.87808632850647,True,16,0.00041150567184156106
D1,Dataset 1,20,Poisson,0.4471442699432373,True,7,0.00019456177496235405
D1,Dataset 1,20,NB,1.9340741634368896,True,8,0.00012426132816162339
D1,Dataset 1,20,ZIP,4.802071809768677,True,12,0.00042423856508155833
D1,Dataset 1,20,ZINB,11.718947410583496,True,15,0.0005624831292827537
D1,Dataset 1,20,P+NB,12.406406879425049,True,18,0.0002249395275728261
D1,Dataset 1,20,Z+P+NB,30.349923372268677,True,26,0.0003023538063777198
D1,Dataset 1,20,ZIP--ZINB,50.062098026275635,True,32,0.00031188086605052345
D1,Dataset 1,27,Poisson,0.6109597682952881,True,6,0.00022063234181857183
D1,Dataset 1,27,NB,1.9754843711853027,True,11,1.7454891853674326e-05
D1,Dataset 1,27,ZIP,4.930286407470703,True,12,0.00018291797803721144
D1,Dataset 1,27,ZINB,11.88833498954773,True,16,0.00010444950277543885
D1,Dataset 1,27,P+NB,10.499884366989136,True,16,0.0002668361974933475
D1,Dataset 1,27,Z+P+NB,26.791827917099,True,24,0.00047345193926456863
D1,Dataset 1,27,ZIP--ZINB,50.383166790008545,True,42,0.00011446753305323126
D1,Dataset 1,28,Poisson,0.6828711032867432,True,6,0.00011990547398843532
D1,Dataset 1,28,NB,1.7370259761810303,True,7,2.833596316817455e-05
D1,Dataset 1,28,ZIP,4.530377626419067,True,12,0.00038003647554640807
D1,Dataset 1,28,ZINB,10.914940357208252,True,16,2.8098498963374796e-05
D1,Dataset 1,28,P+NB,12.604772329330444,True,14,0.00047450752683264596
D1,Dataset 1,28,Z+P+NB,25.399142503738403,True,21,0.001254261548298663
D1,Dataset 1,28,ZIP--ZINB,50.43609023094177,True,34,0.0006385895754774662
D1,Dataset 1,25,Poisson,0.5755481719970703,True,7,4.922644756499839e-05
D1,Dataset 1,25,NB,1.5686917304992676,True,7,0.00022514181211619189
D1,Dataset 1,25,ZIP,6.478553295135498,True,12,0.00032479805307195075
D1,Dataset 1,25,ZINB,14.116052627563477,True,13,4.134313821573584e-05
D1,Dataset 1,25,P+NB,11.744694232940674,True,37,0.00033813205013188963
D1,Dataset 1,25,Z+P+NB,29.103137016296387,True,23,0.00036225654965349463
D1,Dataset 1,25,ZIP--ZINB,45.67405652999878,True,29,0.0005315463361480303
D1,Dataset 1,23,Poisson,0.7272040843963623,True,8,7.02357953308308e-06
D1,Dataset 1,23,NB,1.551976203918457,True,11,4.421734866622007e-05
D1,Dataset 1,23,ZIP,3.863365650177002,True,11,0.00022414939640696963
D1,Dataset 1,23,ZINB,11.714590072631836,True,16,7.176774029094002e-05
D1,Dataset 1,23,P+NB,14.423522710800171,True,20,0.0004030621689737705
D1,Dataset 1,23,Z+P+NB,27.269699811935425,True,18,0.0002452776090837716
D1,Dataset 1,23,ZIP--ZINB,53.68225932121277,True,41,0.00025661666510949557
D1,Dataset 1,29,Poisson,0.4573385715484619,True,7,1.74054005532831e-05
D1,Dataset 1,29,NB,3.5114967823028564,True,8,9.802451756968367e-07
D1,Dataset 1,29,ZIP,6.712716102600098,True,12,0.0008321611700716769
D1,Dataset 1,29,ZINB,14.734772205352783,True,16,0.0003368795773277533
D1,Dataset 1,29,P+NB,10.181912183761597,True,15,6.986756259053095e-05
D1,Dataset 1,29,Z+P+NB,25.417393922805786,True,20,0.00023910630340040484
D1,Dataset 1,29,ZIP--ZINB,45.911426305770874,True,42,0.00029269862775826994
D1,Dataset 1,24,Poisson,0.6917581558227539,True,7,3.830074754684887e-06
D1,Dataset 1,24,NB,2.252962827682495,True,8,3.577515407734988e-05
D1,Dataset 1,24,ZIP,7.22736120223999,True,11,0.00030600912676337355
D1,Dataset 1,24,ZINB,12.85986042022705,True,18,0.0003153595765506556
D1,Dataset 1,24,P+NB,11.35044264793396,True,19,0.00016868939962932927
D1,Dataset 1,24,Z+P+NB,31.725837230682373,True,21,0.0005169658188506343
D1,Dataset 1,24,ZIP--ZINB,54.15606427192688,True,33,0.0002574457809068065
D1,Dataset 1,22,Poisson,0.6256866455078125,True,8,0.00018786952011767832
D1,Dataset 1,22,NB,2.1385178565979004,True,8,1.0045047950043434e-05
D1,Dataset 1,22,ZIP,3.8538403511047363,True,11,8.863080171006565e-05
D1,Dataset 1,22,ZINB,17.54408550262451,True,18,0.0003618045872321729
D1,Dataset 1,22,P+NB,12.588311433792114,True,17,0.0003631565718720253
D1,Dataset 1,22,Z+P+NB,30.630037546157837,True,23,0.0003049907534536725
D1,Dataset 1,22,ZIP--ZINB,56.30927228927612,True,17,0.0013129333060461212
D1,Dataset 1,30,Poisson,0.5397045612335205,True,8,6.850545433634281e-05
D1,Dataset 1,30,NB,2.2033538818359375,True,19,0.000179528997216849
D1,Dataset 1,30,ZIP,6.585956811904907,True,12,3.7200544219994844e-05
D1,Dataset 1,30,ZINB,8.794935703277588,True,18,7.713736624648249e-05
D1,Dataset 1,30,P+NB,12.356922149658203,True,21,0.0005633533017617154
D1,Dataset 1,30,Z+P+NB,30.245386838912964,True,21,0.00023182563267565293
D1,Dataset 1,30,ZIP--ZINB,50.430748462677,True,15,0.00047148241415007064
D1,Dataset 1,33,Poisson,0.67458176612854,True,7,6.512361360833888e-05
D1,Dataset 1,33,NB,2.1217148303985596,True,8,6.76742315910704e-05
D1,Dataset 1,33,ZIP,6.064525365829468,True,12,0.00039150094985346273
D1,Dataset 1,33,ZINB,13.037976026535034,True,20,0.0002524574027470503
D1,Dataset 1,33,P+NB,11.009027242660522,True,19,0.00025027299279273274
D1,Dataset 1,33,Z+P+NB,23.944314002990723,True,22,0.0004057510295350508
D1,Dataset 1,33,ZIP--ZINB,47.55795383453369,True,42,7.800252644862837e-05
D1,Dataset 1,34,Poisson,0.4502723217010498,True,7,4.302345447459999e-06
D1,Dataset 1,34,NB,1.7383403778076172,True,8,1.8901822776334898e-05
D1,Dataset 1,34,ZIP,5.357930421829224,True,12,0.0003456871484617263
D1,Dataset 1,34,ZINB,10.884179830551147,True,23,9.407795395616203e-05
