Scenario,Dataset,Rep,Parameter,true,estimate
D1,Dataset 1,14,rho,0.7,0.720675409119558
D1,Dataset 1,14,lambda,3.501030624233561,3.461962254881648
D1,Dataset 1,14,pi,0.39558596338613944,0.41160651445651486
D1,Dataset 1,14,varphi,9.253607184817465,9.290802494985876
D1,Dataset 1,14,alpha,1.5,1.4208769961261665
D1,Dataset 1,14,omega,0.14515759899246775,0.13694857091470392
D1,Dataset 1,10,rho,0.7,0.699819368102756
D1,Dataset 1,10,lambda,3.500240313787506,3.4954774696180713
D1,Dataset 1,10,pi,0.39556968943044263,0.38707787302252566
D1,Dataset 1,10,varphi,9.25084109825627,8.761528767311972
D1,Dataset 1,10,alpha,1.5,1.630107062553922
D1,Dataset 1,10,omega,0.14623257933233166,0.13964187745669038
D1,Dataset 1,4,rho,0.7,0.7024459327720426
D1,Dataset 1,4,lambda,3.5037040787787634,3.4755404088603172
D1,Dataset 1,4,pi,0.3962774151288819,0.39165110849228835
D1,Dataset 1,4,varphi,9.262964275725672,9.55269927405384
D1,Dataset 1,4,alpha,1.5,1.4557707450184272
D1,Dataset 1,4,omega,0.14545794022321423,0.14117750790470054
D1,Dataset 1,9,rho,0.7,0.7009050640313153
D1,Dataset 1,9,lambda,3.5082493413418923,3.4794981970278087
D1,Dataset 1,9,pi,0.3972124161342996,0.4017847151718562
D1,Dataset 1,9,varphi,9.278872694696625,9.416881764061914
D1,Dataset 1,9,alpha,1.5,1.459121214647752
D1,Dataset 1,9,omega,0.1442569855890647,0.1449147169818187
D1,Dataset 1,3,rho,0.7,0.6966733558490387
D1,Dataset 1,3,lambda,3.4995593777753142,3.488732836611968
D1,Dataset 1,3,pi,0.39541526292965357,0.396733907633127
D1,Dataset 1,3,varphi,9.2484578222136,9.338980297812727
D1,Dataset 1,3,alpha,1.5,1.5071828690820255
D1,Dataset 1,3,omega,0.14634380789251572,0.16640763518310137
D1,Dataset 1,7,rho,0.7,0.692047083542483
D1,Dataset 1,7,lambda,3.498698474521876,3.5522934261647547
D1,Dataset 1,7,pi,0.3951034853796046,0.3917043404226891
D1,Dataset 1,7,varphi,9.245444660826566,9.07139402049133
D1,Dataset 1,7,alpha,1.5,1.5764551260167707
D1,Dataset 1,7,omega,0.14572671180326915,0.16682343759019058
D1,Dataset 1,8,rho,0.7,0.6826832388104389
D1,Dataset 1,8,lambda,3.5012912260984876,3.5868375011493483
D1,Dataset 1,8,pi,0.3957140650613398,0.39419026368545046
D1,Dataset 1,8,varphi,9.254519291344707,9.14467199819602
D1,Dataset 1,8,alpha,1.5,1.5838524072242055
D1,Dataset 1,8,omega,0.14560749604753082,0.1483013394261947
D1,Dataset 1,6,rho,0.7,0.6782493334376818
D1,Dataset 1,6,lambda,3.5047631651047033,3.5469883914897866
D1,Dataset 1,6,pi,0.3965447294343562,0.39309268995160124
D1,Dataset 1,6,varphi,9.266671077866462,9.027663368260015
D1,Dataset 1,6,alpha,1.5,1.5930113964591845
D1,Dataset 1,6,omega,0.1455258972682654,0.14633547836064462
D1,Dataset 1,0,rho,0.7,0.6998421493160595
D1,Dataset 1,0,lambda,3.5035835798407775,3.4941567130342692
D1,Dataset 1,0,pi,0.3963094453405679,0.39983145036992196
D1,Dataset 1,0,varphi,9.262542529442719,8.907650128059501
D1,Dataset 1,0,alpha,1.5,1.5403206925678945
D1,Dataset 1,0,omega,0.1456993019635529,0.14359231182490556
D1,Dataset 1,2,rho,0.7,0.6966301841346116
D1,Dataset 1,2,lambda,3.502190654248865,3.5004619846359724
D1,Dataset 1,2,pi,0.3958354955064992,0.41004709760554453
D1,Dataset 1,2,varphi,9.257667289871025,8.905042501779267
D1,Dataset 1,2,alpha,1.5,1.5980133669600012
D1,Dataset 1,2,omega,0.14477176547638831,0.1124177874538268
D1,Dataset 1,11,rho,0.7,0.7222373318474179
D1,Dataset 1,11,lambda,3.492371422267922,3.5265548204685286
D1,Dataset 1,11,pi,0.3938424818896468,0.3991340189615026
D1,Dataset 1,11,varphi,9.223299977937726,9.547928609685213
D1,Dataset 1,11,alpha,1.5,1.4183690346909514
D1,Dataset 1,11,omega,0.14763042153450945,0.13647517640729
D1,Dataset 1,12,rho,0.7,0.7059681530923032
D1,Dataset 1,12,lambda,3.5191537930999015,3.5328610912781406
D1,Dataset 1,12,pi,0.3995219196778765,0.39417727409765413
D1,Dataset 1,12,varphi,9.317038275849653,9.651931576745161
D1,Dataset 1,12,alpha,1.5,1.454882055139586
D1,Dataset 1,12,omega,0.14150943880773817,0.1571876079110089
D1,Dataset 1,1,rho,0.7,0.6922149861055328
D1,Dataset 1,1,lambda,3.50608027480295,3.5022971617892957
D1,Dataset 1,1,pi,0.3968176313483802,0.3981251701584939
D1,Dataset 1,1,varphi,9.271280961810326,9.150526354936988
D1,Dataset 1,1,alpha,1.5,1.5544854428022725
D1,Dataset 1,1,omega,0.1450436763771757,0.13508100034656595
D1,Dataset 1,13,rho,0.7,0.6908436235059574
D1,Dataset 1,13,lambda,3.4988710309787328,3.522905114191737
D1,Dataset 1,13,pi,0.3951642794777865,0.3917622999624286
D1,Dataset 1,13,varphi,9.246048608425564,9.209201025307335
D1,Dataset 1,13,alpha,1.5,1.6283227231812842
D1,Dataset 1,13,omega,0.14599169785020663,0.15521107079119342
D1,Dataset 1,5,rho,0.7,0.7049915104792228
