Scenario,Dataset,Parameter,Scale,coverage_rate,mean_se,n_intervals
D1,Dataset 1,alpha,natural_delta,0.94,0.102816543633526,100
D1,Dataset 1,rho,natural_delta,0.97,0.012965464613064685,100
D1,Dataset 1,beta_nb[0],optimizer,0.96,0.46089352466110456,100
D1,Dataset 1,beta_nb[1],optimizer,0.97,0.26238220725134226,100
D1,Dataset 1,beta_z[0],optimizer,0.94,0.04337789598283199,100
D1,Dataset 1,beta_z[1],optimizer,0.93,0.03691599996727843,100
D1,Dataset 1,gamma_nb[0],optimizer,0.94,0.22544142052928517,100
D1,Dataset 1,gamma_nb[1],optimizer,0.95,0.454152721787994,100
D1,Dataset 1,gamma_z[0],optimizer,0.96,0.12353712800973836,100
D1,Dataset 1,gamma_z[1],optimizer,0.95,0.05783029141700553,100
D1,Dataset 1,log_alpha,optimizer,0.94,0.0686955723133301,100
D1,Dataset 1,logit_rho,optimizer,0.97,0.06183258739883593,100
D2,Dataset 2,alpha,natural_delta,1.0,0.054031851413237034,100
D2,Dataset 2,rho,natural_delta,0.94,0.04856036393618126,100
D2,Dataset 2,beta_nb[0],optimizer,0.92,0.4762022330365592,100
D2,Dataset 2,beta_nb[1],optimizer,0.91,0.4848982116294227,100
D2,Dataset 2,beta_z[0],optimizer,0.98,0.2511666723261428,100
D2,Dataset 2,beta_z[1],optimizer,0.95,0.6757347600320864,100
D2,Dataset 2,gamma_nb[0],optimizer,0.93,0.2890888263492225,100
D2,Dataset 2,gamma_nb[1],optimizer,0.94,0.10690999514430682,100
D2,Dataset 2,gamma_z[0],optimizer,0.94,0.13734260185834338,100
D2,Dataset 2,gamma_z[1],optimizer,0.89,0.331615512844334,100
D2,Dataset 2,log_alpha,optimizer,1.0,0.0545695335112727,100
D2,Dataset 2,logit_rho,optimizer,0.94,0.19755017810479475,100
D3,Dataset 3,alpha,natural_delta,0.9,0.05073871999991895,100
D3,Dataset 3,rho,natural_delta,0.94,0.02937393692803414,100
D3,Dataset 3,beta_nb[0],optimizer,0.97,0.3121173028265384,100
D3,Dataset 3,beta_nb[1],optimizer,0.94,0.4304325086623888,100
D3,Dataset 3,beta_z[0],optimizer,0.91,0.11225696276409737,100
D3,Dataset 3,beta_z[1],optimizer,0.96,0.07173887279048426,100
D3,Dataset 3,gamma_nb[0],optimizer,0.91,0.21983371203253216,100
D3,Dataset 3,gamma_nb[1],optimizer,0.99,0.09859317149748437,100
D3,Dataset 3,gamma_z[0],optimizer,0.92,0.35401607125560713,100
D3,Dataset 3,gamma_z[1],optimizer,0.95,0.1424228317622406,100
D3,Dataset 3,log_alpha,optimizer,0.9,0.051185070577661626,100
D3,Dataset 3,logit_rho,optimizer,0.94,0.12230597454526598,100
D4,Dataset 4,alpha,natural_delta,0.95,0.05440759087324547,100
D4,Dataset 4,rho,natural_delta,0.85,0.02242986501846111,100
D4,Dataset 4,beta_nb[0],optimizer,0.93,0.15835418972321755,100
D4,Dataset 4,beta_nb[1],optimizer,0.96,0.11068787457833111,100
D4,Dataset 4,beta_z[0],optimizer,0.96,0.15751095931348902,100
D4,Dataset 4,beta_z[1],optimizer,0.96,0.09841791639017597,100
D4,Dataset 4,gamma_nb[0],optimizer,0.91,0.2579480209265219,100
D4,Dataset 4,gamma_nb[1],optimizer,0.89,0.1035688055997319,100
D4,Dataset 4,gamma_z[0],optimizer,0.93,0.4549285706734637,100
D4,Dataset 4,gamma_z[1],optimizer,0.93,0.15149704854918114,100
D4,Dataset 4,log_alpha,optimizer,0.96,0.0549734327674869,100
D4,Dataset 4,logit_rho,optimizer,0.86,0.10980428864659066,100
