Scenario,Dataset,Coefficient,CoefficientLatex,true,mean_estimate,empirical_sd,rmse,n_success
D1,Dataset 1,beta_z[0],$\beta_{10}$,2.0,2.011915016195826,0.04692492219173667,0.04818606074810765,100
D1,Dataset 1,beta_z[1],$\beta_{11}$,1.0,0.9922868631977286,0.038986241281832736,0.03955022400092037,100
D1,Dataset 1,gamma_z[0],$\gamma_{10}$,-2.0,-1.9964293733637704,0.11368427500895893,0.11317076749339834,100
D1,Dataset 1,gamma_z[1],$\gamma_{11}$,1.0,0.998606951777138,0.0526952164414601,0.0524495811308863,100
D1,Dataset 1,beta_nb[0],$\beta_{20}$,4.0,3.986435907777833,0.4324650866236783,0.43051106284827667,100
D1,Dataset 1,beta_nb[1],$\beta_{21}$,3.5,3.518163474966745,0.2379011580457369,0.23740451388374073,100
D1,Dataset 1,gamma_nb[0],$\gamma_{20}$,1.0,1.0247329295965935,0.21887012891109225,0.21917301339967152,100
D1,Dataset 1,gamma_nb[1],$\gamma_{21}$,-3.0,-3.0562664008792786,0.44525936548918355,0.4465862194450023,100
D2,Dataset 2,beta_z[0],$\beta_{10}$,5.0,4.946422715243827,0.22931059791360073,0.23436732334986943,100
D2,Dataset 2,beta_z[1],$\beta_{11}$,-0.5,-0.4363804270453386,0.6875528771989553,0.6870583086012784,100
D2,Dataset 2,gamma_z[0],$\gamma_{10}$,0.09999999999999998,0.06387209691296461,0.129376771525087,0.13370187321656432,100
D2,Dataset 2,gamma_z[1],$\gamma_{11}$,3.100000000000002,3.0643541369841696,0.3679908384571988,0.3678773058598359,100
D2,Dataset 2,beta_nb[0],$\beta_{20}$,10.0,10.166474276228877,0.5165092118314214,0.5402107300800107,100
D2,Dataset 2,beta_nb[1],$\beta_{21}$,2.5,2.369704682037917,0.5366016894710142,0.5495805939937796,100
D2,Dataset 2,gamma_nb[0],$\gamma_{20}$,-1.699999999999999,-1.6608811903661336,0.3242357371133976,0.3249735471641103,100
D2,Dataset 2,gamma_nb[1],$\gamma_{21}$,2.0,1.9897554178646015,0.10934366197952992,0.10927683887298206,100
D3,Dataset 3,beta_z[0],$\beta_{10}$,6.6,6.586304361407372,0.128736072391983,0.12882087209774903,100
D3,Dataset 3,beta_z[1],$\beta_{11}$,-2.1,-2.0929451899063154,0.07999608176099172,0.07990713179434057,100
D3,Dataset 3,gamma_z[0],$\gamma_{10}$,-2.5,-2.5188315341623686,0.38515705522772087,0.38368883786042196,100
D3,Dataset 3,gamma_z[1],$\gamma_{11}$,2.0,2.023069041829579,0.15044891621819903,0.15146190385127617,100
D3,Dataset 3,beta_nb[0],$\beta_{20}$,8.0,8.062862847614316,0.30120351429098247,0.30621570675131315,100
D3,Dataset 3,beta_nb[1],$\beta_{21}$,2.5,2.4878685049443052,0.4681302901263266,0.4659417152613699,100
D3,Dataset 3,gamma_nb[0],$\gamma_{20}$,-2.5,-2.5229565448733386,0.22026866860687686,0.22036357788588676,100
D3,Dataset 3,gamma_nb[1],$\gamma_{21}$,2.5,2.503674045709177,0.08424151232663553,0.08389972995761681,100
D4,Dataset 4,beta_z[0],$\beta_{10}$,5.0,5.0031133847338625,0.1574511859284244,0.15669288546473842,100
D4,Dataset 4,beta_z[1],$\beta_{11}$,1.5,1.4965198790076137,0.09527022176305852,0.0948565350693149,100
D4,Dataset 4,gamma_z[0],$\gamma_{10}$,-2.0,-2.2207444271024457,0.7307440298197331,0.7598520058819337,100
D4,Dataset 4,gamma_z[1],$\gamma_{11}$,1.0,1.061282616213578,0.2293777421723098,0.23631243337583122,100
D4,Dataset 4,beta_nb[0],$\beta_{20}$,6.0,5.974969227407689,0.1512492377453684,0.15255854016061327,100
D4,Dataset 4,beta_nb[1],$\beta_{21}$,-1.0,-0.982285718404308,0.10232595085386027,0.10334258555124617,100
D4,Dataset 4,gamma_nb[0],$\gamma_{20}$,-3.7,-3.6526896551530514,0.3064296428170409,0.30854238520266014,100
D4,Dataset 4,gamma_nb[1],$\gamma_{21}$,2.0,1.9881896628560138,0.11543193239711178,0.11545895275038952,100
