Scenario,Dataset,Parameter,true,mean_estimate,empirical_sd,rmse,n_success
D1,Dataset 1,rho,0.7000000000000002,0.7004043570081185,0.012378672035871355,0.012323258933738335,100
D1,Dataset 1,lambda,3.500091958124524,3.5004467054939337,0.03604952384123614,0.03528565345629751,100
D1,Dataset 1,pi,0.3954680598493776,0.3958547972899303,0.00791228394048151,0.007692876083955916,100
D1,Dataset 1,varphi,9.250321853435832,9.263968806962607,0.3792287263411654,0.37660092885103924,100
D1,Dataset 1,alpha,1.5,1.4969423451542985,0.10128917843878582,0.10082783318742697,100
D1,Dataset 1,omega,0.1458830624410159,0.14719433497642517,0.018238523990539317,0.01802561718035882,100
D2,Dataset 2,rho,0.5,0.49127391596030423,0.056631311637816005,0.057019110357046716,100
D2,Dataset 2,lambda,4.249903083568823,4.291137847188181,0.8891092941005193,0.8852176908330681,100
D2,Dataset 2,pi,0.9306752598911672,0.9270178936007745,0.00934742864340481,0.010023716542813083,100
D2,Dataset 2,varphi,13.750484582155886,13.721276436686976,0.540723877503979,0.5389810715907005,100
D2,Dataset 2,alpha,1.0,0.9913292825133904,0.04200607211021687,0.04268543469287911,100
D2,Dataset 2,omega,0.6909054509304571,0.6950844090549954,0.030179307785246426,0.030127401116084272,100
D3,Dataset 3,rho,0.3999999999999999,0.40426808954094534,0.03158849728203036,0.031718628867922344,100
D3,Dataset 3,lambda,3.4485604942985555,3.4454909667887073,0.06001095299852363,0.05791297012689807,100
D3,Dataset 3,pi,0.5753738695561111,0.5781967548088877,0.028788411197589438,0.02915496879994675,100
D3,Dataset 3,varphi,11.751713697263627,11.796950209456064,0.5400215206162647,0.5351529758675508,100
D3,Dataset 3,alpha,1.0,0.991408852616351,0.061985139214158234,0.0622699263042134,100
D3,Dataset 3,omega,0.6573303996386101,0.6551851417370556,0.018374598617632066,0.017803580059317547,100
D4,Dataset 4,rho,0.3,0.29250466789488383,0.031379601867241896,0.032109385272520094,100
D4,Dataset 4,lambda,7.251028218358175,7.24898256708836,0.08510252219587655,0.08493116169692101,100
D4,Dataset 4,pi,0.395574058724842,0.37813174536808264,0.05794694973966526,0.06031183250866672,100
D4,Dataset 4,varphi,4.499314521094551,4.500749452377387,0.10651375048367143,0.1052730985813232,100
D4,Dataset 4,alpha,1.0,0.9892514584334893,0.047483975702403584,0.04845319199834413,100
D4,Dataset 4,omega,0.3953463800790884,0.4000233457067772,0.018713689328049055,0.018921067715222156,100
