Scenario,Dataset,Model,mean_sec,median_sec,sd_sec,n_fits
D1,Dataset 1,Poisson,0.628008451461792,0.6123312711715698,0.16948256189847385,100
D1,Dataset 1,NB,2.07418764591217,2.0370733737945557,0.4421726166915055,100
D1,Dataset 1,ZIP,5.275124862194061,5.225412845611572,0.9996699137102876,100
D1,Dataset 1,ZINB,12.499810032844543,12.067389726638794,2.4918606936765713,100
D1,Dataset 1,P+NB,11.178222160339356,10.963329672813416,1.6907766494045102,100
D1,Dataset 1,Z+P+NB,28.017690193653106,27.893799781799316,2.1795463797000556,100
D1,Dataset 1,ZIP--ZINB,49.66777944326401,48.99427783489227,3.894914803348408,100
D2,Dataset 2,Poisson,0.8428032660484314,0.8165459632873535,0.18026476963822435,100
D2,Dataset 2,NB,3.389359996318817,3.3158445358276367,0.824481094600542,100
D2,Dataset 2,ZIP,5.4223249769210815,5.24530565738678,1.0997907683927786,100
D2,Dataset 2,ZINB,6.2101327586174015,6.139310836791992,1.2315653623848855,100
D2,Dataset 2,P+NB,14.943415932655334,14.170021772384644,3.6948103122176823,100
D2,Dataset 2,Z+P+NB,20.884945244789122,20.027377128601074,4.756876922423589,100
D2,Dataset 2,ZIP--ZINB,37.776976733207704,36.290045738220215,8.368996354166878,100
D3,Dataset 3,Poisson,0.9403587651252746,0.9213944673538208,0.22090901732407728,100
D3,Dataset 3,NB,4.300885472297669,4.312904119491577,0.6630942219822846,100
D3,Dataset 3,ZIP,4.731450757980347,4.681858539581299,0.9427391211655765,100
D3,Dataset 3,ZINB,7.84434476852417,7.640012621879578,1.4611779729191217,100
D3,Dataset 3,P+NB,17.30869596719742,16.921413898468018,3.034755575619017,100
D3,Dataset 3,Z+P+NB,21.74293596506119,21.7342449426651,2.111631602621985,100
D3,Dataset 3,ZIP--ZINB,40.41395968198776,39.940420746803284,5.193494326980668,100
D4,Dataset 4,Poisson,0.799259181022644,0.7640502452850342,0.22819071690418707,100
D4,Dataset 4,NB,1.7207572197914123,1.6687917709350586,0.3829380005832427,100
D4,Dataset 4,ZIP,4.908284609317779,4.890301704406738,0.9743116757393179,100
D4,Dataset 4,ZINB,4.769547121524811,4.630429267883301,1.2801910192610009,100
D4,Dataset 4,P+NB,10.602960956096648,10.742851376533508,1.75549202759815,100
D4,Dataset 4,Z+P+NB,20.91213032245636,20.885913968086243,2.2130021522825247,100
D4,Dataset 4,ZIP--ZINB,39.24174612045288,39.3741729259491,4.044157685791501,100
